Credential ID,Name,Type,Business Name,DBA,Full Credential Code,Credential Type,Credential Number,Credential Subcategory,Credential,Status,Status Reason,Active,Issue Date,Effective Date,Expiration Date,Address,City,State,Zip Code,Date Record Refreshed ,Location
2245564,YALE IN-VITRO FERTILIZATION LABORATORY,NON-PROFIT CORPORATION,YALE IN-VITRO FERTILIZATION LABORATORY,YALE IN-VITRO FERTILIZATION LABORATORY,CLAB.0001007,CLAB,1007,,Clinical Laboratory,ACTIVE IN RENEWAL,ACTIVE,1,03/06/2020 12:00:00 AM,04/01/2022 12:00:00 AM,06/30/2024 12:00:00 AM,200 W CAMPUS DR FL 2,ORANGE,CT,64773693,01/08/2024 12:00:00 AM,POINT (-72.996453993 41.253591008)
930202,LIVEWELL CONNECTICUT,CORPORATION,LIVEWELL CONNECTICUT,LIVEWELL CONNECTICUT,ALSA.0000048,ALSA,48,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,01/01/2008 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2023 12:00:00 AM,1261 S MAIN ST,PLANTSVILLE,CT,64791750,10/11/2023 12:00:00 AM,POINT (-72.894482023 41.573280986)
1625723,ESSEX MEADOWS HEALTH CENTER,LIMITED LIABILITY COMPANY,ESSEX MEADOWS HEALTH CENTER,ESSEX MEADOWS HEALTH CENTER,CCNH.0002450,CCNH,2450,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,01/14/2019 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,30 BOKUM RD,ESSEX,CT,64261510,04/20/2023 12:00:00 AM,POINT (-72.412278006 41.33476798)
930652,"GLASTONBURY HEALTH CARE CENTER, INC.",LIMITED LIABILITY COMPANY,"GLASTONBURY HEALTH CARE CENTER, INC.","GLASTONBURY HEALTH CARE CENTER, INC.",CCNH.002028C,CCNH,2028C,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,07/01/2009 12:00:00 AM,07/01/2021 12:00:00 AM,06/30/2023 12:00:00 AM,1175 HEBRON AVE,GLASTONBURY,CT,60332478,11/29/2023 12:00:00 AM,POINT (-72.566463031 41.71936201)
930699,MANSFIELD CENTER FOR NURSING & REHABILITATION,CORPORATION,MANSFIELD CENTER FOR NURSING & REHABILITATION,MANSFIELD CENTER FOR NURSING & REHABILITATION,CCNH.002132C,CCNH,2132C,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,01/01/2010 12:00:00 AM,01/01/2022 12:00:00 AM,12/31/2023 12:00:00 AM,100 WARREN CIR,STORRS,CT,62682074,12/27/2023 12:00:00 AM,POINT (-72.255458968 41.791112987)
1253462,CROSSINGS EAST HEALTH AND REHABILITATION CENTER,LIMITED LIABILITY COMPANY,CROSSINGS EAST HEALTH AND REHABILITATION CENTER,CROSSINGS EAST HEALTH AND REHABILITATION CENTER,CCNH.0002394,CCNH,2394,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,11/04/2014 12:00:00 AM,11/01/2014 12:00:00 AM,09/30/2016 12:00:00 AM,78 VIETS ST,NEW LONDON,CT,63203354,11/26/2021 12:00:00 AM,POINT (-72.11014602 41.338193999)
1259519,DAVIS PLACE,LIMITED LIABILITY PARTNERSHIP,DAVIS PLACE,DAVIS PLACE,CCNH.0002396,CCNH,2396,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,12/18/2014 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,111 WESTCOTT RD,DANIELSON,CT,62392929,09/07/2023 12:00:00 AM,POINT (-71.873987993 41.808534019)
930744,MONTOWESE HEALTH AND REHABILITATION CENTER INC.,BUSINESS,MONTOWESE HEALTH AND REHABILITATION CENTER INC.,MONTOWESE HEALTH & REHABILITATION CENTER INC.,CCNH.001015C,CCNH,1015C,,Chronic & Convalescent Nursing Home,INACTIVE,INACTIVE,0,10/01/2008 12:00:00 AM,10/01/2016 12:00:00 AM,09/30/2018 12:00:00 AM,163 QUINNIPIAC AVE,NORTH HAVEN,CT,64733623,01/29/2018 12:00:00 AM,POINT (-72.862166014 41.346639982)
929530,TC HEALTHCARE I LLC,BUSINESS,TC HEALTHCARE I LLC,"GRISWOLD HEALTHCARE AND REHABILITATION CENTER, RONCALLI HEALTH CARE - JEWITT CITY",CCNH.0002335,CCNH,2335,,Chronic & Convalescent Nursing Home,INACTIVE,,0,07/07/2008 12:00:00 AM,07/07/2008 12:00:00 AM,09/30/2010 12:00:00 AM,97 PRESTON RD,GRISWOLD,CT,63512516,05/18/2010 12:00:00 AM,POINT (-71.978860019 41.591400984)
1607035,"RESIDENCE AT SOUTH WINDSOR FARMS, THE",LIMITED LIABILITY COMPANY,"RESIDENCE AT SOUTH WINDSOR FARMS, THE","RESIDENCE AT SOUTH WINDSOR FARMS, THE",ALSA.0000204,ALSA,204,,Assisted Living Service Agency,ACTIVE,CURRENT,1,10/11/2018 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,200 DEMING WAY,SOUTH WINDSOR,CT,6074,11/04/2022 12:00:00 AM,POINT (-72.551737871 41.821530998)
2236237,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,NON-PROFIT CORPORATION,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,CLAB.0000326,CLAB,326,,Clinical Laboratory,ACTIVE IN RENEWAL,CURRENT,1,05/22/2006 12:00:00 AM,07/01/2022 12:00:00 AM,06/30/2024 12:00:00 AM,435 LEWIS AVE STE 220,MERIDEN,CT,64512101,01/17/2024 12:00:00 AM,POINT (-72.800859014 41.549162982)
930665,GOVERNOR'S HOUSE,CORPORATION,GOVERNOR'S HOUSE,GOVERNOR'S HOUSE,CCNH.002200C,CCNH,2200C,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,10/01/2009 12:00:00 AM,10/01/2019 12:00:00 AM,09/30/2021 12:00:00 AM,36 FIRETOWN RD,SIMSBURY,CT,60701965,06/02/2021 12:00:00 AM,POINT (-72.811459385 41.87293624)
930663,VERNON MANOR HEALTH CARE CENTER LLC,LIMITED LIABILITY COMPANY,VERNON MANOR HEALTH CARE CENTER LLC,"VERNON MANOR HEALTH CARE CENTER, LLC",CCNH.000991C,CCNH,991C,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,10/01/2008 12:00:00 AM,10/01/2020 12:00:00 AM,09/30/2022 12:00:00 AM,180 REGAN RD,VERNON,CT,60662824,09/27/2022 12:00:00 AM,POINT (-72.477283018 41.851550993)
1361748,"WATERMARK AT EAST HILL WOODS, THE",LIMITED LIABILITY COMPANY,"WATERMARK AT EAST HILL WOODS, THE","WATERMARK AT EAST HILL WOODS, THE",ALSA.0000181,ALSA,181,,Assisted Living Service Agency,ACTIVE IN RENEWAL,CURRENT,1,06/20/2016 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,611 E HILL RD,SOUTHBURY,CT,64881388,10/03/2023 12:00:00 AM,POINT (-73.240493021 41.483223011)
2237602,GH BENDHEIM LABORATORY,NON-PROFIT CORPORATION,GH BENDHEIM LABORATORY,GH BENDHEIM LABORATORY,CLAB.0000499,CLAB,499,,Clinical Laboratory,ACTIVE,CURRENT,1,09/23/2003 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,77 LAFAYETTE PL STE 202-A,GREENWICH,CT,68305426,09/30/2023 12:00:00 AM,POINT (-73.628379001 41.033663992)
929496,PARKSIDE SENIOR SERVICES LLC,BUSINESS,PARKSIDE SENIOR SERVICES LLC,GREAT POND CROSSING AT RIDGEFIELD,ALSA.0000079,ALSA,79,,Assisted Living Service Agency,INACTIVE,,0,08/13/2002 12:00:00 AM,08/13/2002 12:00:00 AM,06/30/2004 12:00:00 AM,640 Danbury Road,Ridgefield,CT,6877,05/18/2010 12:00:00 AM,POINT (-73.473825005 41.322486019)
1392357,EVERGREEN WOODS,LIMITED LIABILITY COMPANY,EVERGREEN WOODS,EVERGREEN WOODS,ALSA.0000187,ALSA,187,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/05/2016 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,88 NOTCH HILL RD,NORTH BRANFORD,CT,64711846,11/28/2022 12:00:00 AM,POINT (-72.752247999 41.313283989)
929127,BAL EAST HAVEN LLC,LIMITED LIABILITY COMPANY,BAL EAST HAVEN LLC,BAL EAST HAVEN LLC,ALSA.0000136,ALSA,136,,Assisted Living Service Agency,ACTIVE,CURRENT,1,12/01/2008 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,111 S SHORE DR,EAST HAVEN,CT,65124661,12/15/2023 12:00:00 AM,POINT (-72.876790004 41.246339991)
930332,EAST HILL WOODS INC.,BUSINESS,EAST HILL WOODS INC.,"EAST HILL WOODS, INC.",ALSA.0AL0004,ALSA,AL0004,,Assisted Living Service Agency,INACTIVE,,0,01/01/2006 12:00:00 AM,01/01/2006 12:00:00 AM,12/31/2007 12:00:00 AM,611 EAST HILL ROAD,SOUTHBURY,CT,6488,05/18/2010 12:00:00 AM,POINT (-73.240493021 41.483223011)
930907,"CURTIS HOME ST. ELIZABETH CENTER, THE",NON-PROFIT CORPORATION,"CURTIS HOME ST. ELIZABETH CENTER, THE","CURTIS HOME ST. ELIZABETH CENTER, THE",CCNH.000541C,CCNH,541C,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,10/01/2009 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,380 CROWN ST,MERIDEN,CT,64506484,10/04/2023 12:00:00 AM,POINT (-72.804866989 41.527771988)
930540,HEALTH RESOURCES OF ROCKVILLE INC.,BUSINESS,HEALTH RESOURCES OF ROCKVILLE INC.,FOX HILL CENTER,CCNH.002104C,CCNH,2104C,,Chronic & Convalescent Nursing Home,INACTIVE,INACTIVE,0,04/01/2009 12:00:00 AM,04/01/2011 12:00:00 AM,03/31/2013 12:00:00 AM,1253 HARTFORD TPKE,VERNON ROCKVILLE,CT,60664516,03/22/2011 12:00:00 AM,POINT (-72.435167978 41.859759014)
930600,"VILLAGE GREEN OF WALLINGFORD HEALTH CARE CENTER, LLC",BUSINESS,"VILLAGE GREEN OF WALLINGFORD HEALTH CARE CENTER, LLC",VILLAGE GREEN OF WALLINGFORD REHABILITATION AND HEALTH CENTER,CCNH.002223C,CCNH,2223C,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,04/01/2009 12:00:00 AM,04/01/2015 12:00:00 AM,03/31/2017 12:00:00 AM,55 KONDRACKI LN,WALLINGFORD,CT,64924951,10/04/2021 12:00:00 AM,POINT (-72.810283961 41.434841995)
929523,TI - EAST HARTFORD L.L.C.,BUSINESS,TI - EAST HARTFORD L.L.C.,EAST HARTFORD HEALTHCARE & REHABILITATION CENTER,CCNH.0002340,CCNH,2340,,Chronic & Convalescent Nursing Home,CLOSED,CLOSED,0,08/01/2008 12:00:00 AM,08/01/2010 12:00:00 AM,09/30/2012 12:00:00 AM,51 APPLEGATE LANE,EAST HARTFORD,CT,6118,01/19/2011 12:00:00 AM,POINT (-72.610385964 41.76614598)
2268717,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,LIMITED LIABILITY COMPANY,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,CCNH.0002467,CCNH,2467,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,11/07/2021 12:00:00 AM,10/01/2023 12:00:00 AM,09/30/2025 12:00:00 AM,930 MILL HILL TER,SOUTHPORT,CT,68901265,10/11/2023 12:00:00 AM,POINT (-73.287726973 41.147021982)
930905,WAVENY CARE CENTER,CORPORATION,WAVENY CARE CENTER,WAVENY CARE CENTER,CCNH.000942C,CCNH,942C,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,04/01/2010 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,3 FARM RD,NEW CANAAN,CT,68406626,10/12/2023 12:00:00 AM,POINT (-73.49236896 41.128051011)
929668,"WESTERN CONNECTICUT ORTHOPEDIC SURGICAL CENTER, LLC",LIMITED LIABILITY COMPANY,"WESTERN CONNECTICUT ORTHOPEDIC SURGICAL CENTER, LLC","WESTERN CONNECTICUT ORTHOPEDIC SURGICAL CENTER, LLC",ASC.0000304,ASC,304,,Out-Patient Surgical Facility,CLOSED,CLOSED,0,04/01/2009 12:00:00 AM,04/01/2013 12:00:00 AM,03/31/2015 12:00:00 AM,35 TAMARACK AVE,DANBURY,CT,68114959,10/01/2014 12:00:00 AM,POINT (-73.450137998 41.415151018)
2532489,"SUFFIELD HOUSE, THE",LIMITED LIABILITY COMPANY,"SUFFIELD HOUSE, THE","SUFFIELD HOUSE, THE",CCNH,CCNH,,,Chronic & Convalescent Nursing Home,PENDING,APPLICATION PENDING,0,,,,1 CANAL RD,SUFFIELD,CT,60781921,09/18/2023 12:00:00 AM,POINT (-72.611695972 41.983567016)
1388588,MASONICARE HOME HEALTH AND HOSPICE,NON-PROFIT CORPORATION,MASONICARE HOME HEALTH AND HOSPICE,MASONICARE HOME HEALTH AND HOSPICE,ALSA.0000185,ALSA,185,,Assisted Living Service Agency,ACTIVE,CURRENT,1,11/09/2016 12:00:00 AM,10/01/2022 12:00:00 AM,09/30/2024 12:00:00 AM,110 S TURNPIKE RD,WALLINGFORD,CT,64924342,03/21/2023 12:00:00 AM,POINT (-72.845088976 41.445361996)
929199,CONVERSION DATA,BUSINESS,CONVERSION DATA,DEEP RIVER CONV HOME,CCNH.000823C,CCNH,823C,,Chronic & Convalescent Nursing Home,INACTIVE,,0,,,06/30/1997 12:00:00 AM,78 WEST ELM ST,DEEP RIVER,CT,64170393,05/18/2010 12:00:00 AM,POINT (-72.440514961 41.381777004)
1680701,"JOHN L. LEVITOW HEALTH CARE CENTER, THE",GOVERNMENT AGENCY,"JOHN L. LEVITOW HEALTH CARE CENTER, THE","JOHN L. LEVITOW HEALTH CARE CENTER, THE",CCNH.0002454,CCNH,2454,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,08/01/2019 12:00:00 AM,07/01/2023 12:00:00 AM,06/30/2025 12:00:00 AM,287 WEST ST,ROCKY HILL,CT,60673501,05/19/2023 12:00:00 AM,POINT (-72.652458005 41.656703009)
930085,ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT LLC,LIMITED LIABILITY COMPANY,ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT LLC,"ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT, LLC",ASC.0000278,ASC,278,,Out-Patient Surgical Facility,ACTIVE,CURRENT,1,01/01/2010 12:00:00 AM,01/01/2024 12:00:00 AM,12/31/2025 12:00:00 AM,245 ALVORD PARK RD STE B,TORRINGTON,CT,67903493,01/16/2024 12:00:00 AM,POINT (-73.103803961 41.822842011)
929939,NSL CONNECTICUT LLC,BUSINESS,NSL CONNECTICUT LLC,"NSL CONNECTICUT, LLC",ALSA.0000060,ALSA,60,,Assisted Living Service Agency,INACTIVE,,0,01/01/2005 12:00:00 AM,01/01/2005 12:00:00 AM,12/31/2006 12:00:00 AM,1 HAMILTON HEIGHTS DRIVE,WEST HARTFORD,CT,6119,05/18/2010 12:00:00 AM,POINT (-72.723299001 41.76846102)
929680,RICHARD MARTIN MD,BUSINESS,RICHARD MARTIN MD,"CONNECTICUT SURGICAL ARTS, LLC",ASC.0000311,ASC,311,,Out-Patient Surgical Facility,INACTIVE,INACTIVE,0,07/01/2009 12:00:00 AM,07/01/2011 12:00:00 AM,06/30/2013 12:00:00 AM,159 Sachem Street,Norwich,CT,6360,11/07/2012 12:00:00 AM,POINT (-72.090350982 41.536072)
930648,CHESTELM HEALTH AND REHABILITATION CENTER,CORPORATION,CHESTELM HEALTH AND REHABILITATION CENTER,CHESTELM HEALTH AND REHABILITATION CENTER,CCRH.002196C,CCRH,2196C,,Chronic & Convalescent Nursing Homes and Rest Home with Nursing Supervision,ACTIVE,CURRENT,1,07/01/2009 12:00:00 AM,07/01/2023 12:00:00 AM,06/30/2025 12:00:00 AM,534 TOWN ST,MOODUS,CT,64691101,11/20/2023 12:00:00 AM,POINT (-72.44471396 41.486000983)
929206,CONVERSION DATA,BUSINESS,CONVERSION DATA,PROSPECT CONTINUING CARE,CCNH.002158C,CCNH,2158C,,Chronic & Convalescent Nursing Home,INACTIVE,,0,,,12/31/1996 12:00:00 AM,170 SCOTT RD,PROSPECT,CT,6712,05/18/2010 12:00:00 AM,POINT (-72.97677999 41.53223598)
1361695,"SPRINGS AT WATERMARK, EAST HILL, THE",LIMITED LIABILITY COMPANY,"SPRINGS AT WATERMARK, EAST HILL, THE","SPRINGS AT WATERMARK, EAST HILL, THE",CCNH.0002429,CCNH,2429,,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,CURRENT,1,06/20/2016 12:00:00 AM,04/01/2022 12:00:00 AM,03/31/2024 12:00:00 AM,611 E HILL RD,SOUTHBURY,CT,64881388,12/05/2023 12:00:00 AM,POINT (-73.240493021 41.483223011)
929669,CONNECTICUT ORTHOPAEDIC SPECIALIST P.C.,BUSINESS,CONNECTICUT ORTHOPAEDIC SPECIALIST P.C.,CONNECTICUT ORTHOPAEDIC SPECIALIST P.C.,ASC.0000302,ASC,302,,Out-Patient Surgical Facility,INACTIVE,LAPSED DUE TO NON-RENEWAL,0,04/01/2009 12:00:00 AM,04/01/2011 12:00:00 AM,03/31/2013 12:00:00 AM,"2200 Whitney Avenue, Suite 310",Hamden,CT,6518,07/24/2014 12:00:00 AM,POINT (-72.904813976 41.376761986)
2526227,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,LIMITED LIABILITY COMPANY,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,CCNH.0002484,CCNH,2484,,Chronic & Convalescent Nursing Home,ACTIVE,CURRENT,1,11/29/2023 12:00:00 AM,11/28/2023 12:00:00 AM,09/30/2025 12:00:00 AM,225 AMITY RD,WOODBRIDGE,CT,65252206,11/29/2023 12:00:00 AM,POINT (-72.98273198 41.342490982)
929889,CENTER FOR AMBULATORY SURGERY LLC,LIMITED LIABILITY COMPANY,CENTER FOR AMBULATORY SURGERY LLC,"CENTER FOR AMBULATORY SURGERY, LLC",ASC.0000292,ASC,292,,Out-Patient Surgical Facility,INACTIVE,INACTIVE,0,10/01/2009 12:00:00 AM,10/01/2013 12:00:00 AM,09/30/2015 12:00:00 AM,32 IMPERIAL AVE,WESTPORT,CT,68804328,03/02/2015 12:00:00 AM,POINT (-73.358667965 41.139143999)
