Year,Town,Residential Type,Serial Number,List Year,Date Recorded,Address,Assessed Value,Sale Amount,Sales Ratio,Location,Lat,Long,BusinessEstablishment,EmploymentData,EmploymentWages,UnemploymentRates
2008,Norwalk,Condo,70605,2007,2008-04-04,613 FOXBORO DR,234850.0,458000.0,0.51,POINT (-73.41747 41.15988),-73.41747,41.15988,"3,178","45,121",78022,4.7
2008,Branford,Single Family,70480,2007,2008-09-05,48 HILLSIDE AVE,139700.0,300000.0,0.47,POINT (-73.5038027 41.0638206),-73.5038027,41.0638206,"1,130","12,687",45337,4.8
2008,Bridgeport,Condo,71682,2007,2008-09-08,"881 LAFAYETTE BLVD, UNIT 4L",875002.0,225000.0,3.89,POINT (-73.1921 41.17481),-73.1921,41.17481,"2,404","44,709",50265,8.7
2008,Norwalk,Single Family,70724,2007,2008-05-22,20 LINCOLN AVE,184730.0,425000.0,0.43,POINT (-72.8210601 41.2791187),-72.8210601,41.2791187,"3,178","45,121",78022,4.7
2008,Meriden,Single Family,70624,2007,2008-06-23,6 ORIOLE WAY,154460.0,274900.0,0.56,POINT (-72.79456 41.55743),-72.79456,41.55743,"1,347","23,964",44792,6.9
2008,Hamden,Condo,70212,2007,2008-01-14,1730 STATE ST. #205,48370.0,70000.0,0.69,POINT (-72.89855 41.3296),-72.89855,41.3296,"1,540","20,757",42293,5.4
2008,Branford,Condo,70345,2007,2008-06-17,755 ROBERT FROST DR.,124400.0,205500.0,0.61,POINT (-72.84285 41.27058),-72.84285,41.27058,"1,130","12,687",45337,4.8
2008,Branford,Single Family,70493,2007,2008-09-22,13 CHAPEL DR,317700.0,570000.0,0.56,POINT (-72.77593 41.26606),-72.77593,41.26606,"1,130","12,687",45337,4.8
2008,Branford,Single Family,70277,2007,2008-04-29,30 WEST HAYCOCK PT. RD.,462000.0,725000.0,0.64,POINT (-72.79167 41.25998),-72.79167,41.25998,"1,130","12,687",45337,4.8
2008,Hamden,Condo,70563,2007,2008-06-23,1167 WHITNEY AVE #A9,289030.0,360000.0,0.8,POINT (-72.91216 41.34356),-72.91216,41.34356,"1,540","20,757",42293,5.4
2008,Milford,Single Family,70532,2007,2008-06-02,60 WILBAR AVE,326100.0,405000.0,0.81,POINT (-73.05186 41.21553),-73.05186,41.21553,"1,952","29,391",47756,4.8
2008,Bridgeport,Single Family,71028,2007,2008-04-22,2920 MADISON AVE,192360.0,550000.0,0.35,POINT (-73.22652 41.21375),-73.22652,41.21375,"2,404","44,709",50265,8.7
2008,Milford,Single Family,70296,2007,2008-02-06,10 CAROLINE ST,182340.0,225000.0,0.81,POINT (-73.0616929 41.2066507),-73.0616929,41.2066507,"1,952","29,391",47756,4.8
2008,Bridgeport,Single Family,71070,2007,2008-04-30,112 GLENVALE TERR,122760.0,255000.0,0.48,POINT (-73.16293 41.22548),-73.16293,41.22548,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71082,2007,2008-05-01,275 CLARKE ST,125230.0,195000.0,0.64,POINT (-73.21269 41.20718),-73.21269,41.20718,"2,404","44,709",50265,8.7
2008,Hamden,Single Family,70628,2007,2008-07-15,94 LINCOLN ST,157570.0,284000.0,0.55,POINT (-72.89651 41.38808),-72.89651,41.38808,"1,540","20,757",42293,5.4
2008,Fairfield,Single Family,70525,2007,2008-06-19,297 PINE CREEK AVE,1176770.0,1790000.0,0.66,POINT (-73.26547 41.12038),-73.26547,41.12038,"2,278","24,424",59671,4.6
2008,Norwalk,Condo,70707,2007,2008-05-27,208 FLAX HILL RD #35,102340.0,245000.0,0.42,POINT (-73.4255 41.09668),-73.4255,41.09668,"3,178","45,121",78022,4.7
2008,Branford,Condo,70177,2007,2008-02-06,11D PINEVIEW,61000.0,112900.0,0.54,POINT (-72.81486 41.30729),-72.81486,41.30729,"1,130","12,687",45337,4.8
2008,Fairfield,Single Family,70790,2007,2008-09-15,32 HICKORY LN,1847090.0,3125000.0,0.59,POINT (-73.28339 41.18715),-73.28339,41.18715,"2,278","24,424",59671,4.6
2008,Fairfield,Single Family,70610,2007,2008-07-17,578 DUCK FARM RD,438830.0,600000.0,0.73,POINT (-73.2748 41.16882),-73.2748,41.16882,"2,278","24,424",59671,4.6
2008,Bridgeport,Single Family,70782,2007,2008-03-04,31 HARRAL AVE.,90830.0,235000.0,0.39,POINT (-73.20114 41.17855),-73.20114,41.17855,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,70610,2007,2008-01-23,1785 CENTRAL AVE,49070.0,18100.0,2.71,POINT (-73.16753 41.19153),-73.16753,41.19153,"2,404","44,709",50265,8.7
2008,Fairfield,Single Family,70273,2007,2008-02-29,502 JACKMAN AVE,387310.0,401000.0,0.97,POINT (-73.22493 41.1942),-73.22493,41.1942,"2,278","24,424",59671,4.6
2008,Greenwich,Single Family,70734,2007,2008-08-14,24 MAPLEWOOD DR,593810.0,575000.0,1.03,POINT (-72.5315646 41.2722772),-72.5315646,41.2722772,"4,054","36,859",142009,4
2008,Greenwich,Single Family,70734,2007,2008-08-14,24 MAPLEWOOD DR,593810.0,575000.0,1.03,POINT (-73.5198618 41.3989999),-73.5198618,41.3989999,"4,054","36,859",142009,4
2008,Bridgeport,Single Family,71647,2007,2008-09-02,260 BROOKLAWN AVENUE,124780.0,232000.0,0.54,POINT (-73.21725 41.18201),-73.21725,41.18201,"2,404","44,709",50265,8.7
2008,Norwalk,Single Family,70797,2007,2008-06-16,9 OUTER RD,547820.0,1300000.0,0.42,POINT (-73.41789 41.07742),-73.41789,41.07742,"3,178","45,121",78022,4.7
2008,Milford,Single Family,70317,2007,2008-02-25,71 MIDWOOD RD,248650.0,185000.0,1.34,POINT (-72.8442632 41.2613703),-72.8442632,41.2613703,"1,952","29,391",47756,4.8
2008,Greenwich,Single Family,70535,2007,2008-06-03,221 ROUND HILL RD,10389890.0,18000000.0,0.58,POINT (-73.65757 41.07393),-73.65757,41.07393,"4,054","36,859",142009,4
2008,Norwalk,Single Family,70783,2007,2008-06-02,192 WEST NORWALK RD,326620.0,630000.0,0.52,POINT (-73.4638316 41.1100155),-73.4638316,41.1100155,"3,178","45,121",78022,4.7
2008,Milford,Single Family,70612,2007,2008-07-02,193 SEAFLOWER RD,255750.0,390000.0,0.66,POINT (-73.09331 41.19007),-73.09331,41.19007,"1,952","29,391",47756,4.8
2008,Hamden,Single Family,70617,2007,2008-07-14,55 BELMONT ST,177730.0,285000.0,0.62,POINT (-72.91621 41.34795),-72.91621,41.34795,"1,540","20,757",42293,5.4
2008,Bridgeport,Condo,70896,2007,2008-03-28,183 VIRGINIA AVE. #279,56210.0,116396.0,0.48,POINT (-73.17487 41.21095),-73.17487,41.21095,"2,404","44,709",50265,8.7
2008,Greenwich,Condo,70480,2007,2008-05-14,51 FOREST AVE #123,409990.0,601500.0,0.68,POINT (-73.56373 41.03532),-73.56373,41.03532,"4,054","36,859",142009,4
2008,Norwalk,Single Family,70531,2007,2008-04-30,1 EAGLE RD,220710.0,395000.0,0.56,POINT (-73.432656 41.113501),-73.432656,41.113501,"3,178","45,121",78022,4.7
2008,Bridgeport,Single Family,70639,2007,2008-01-29,272 DOVER ST,55650.0,65000.0,0.86,POINT (-73.16744 41.19701),-73.16744,41.19701,"2,404","44,709",50265,8.7
2008,Fairfield,Single Family,70445,2007,2008-05-15,173 VILLAGE LN,1154650.0,1737550.0,0.66,POINT (-73.29324 41.14333),-73.29324,41.14333,"2,278","24,424",59671,4.6
2008,Greenwich,Single Family,70576,2007,2008-06-23,113 CAT ROCK RD,3000130.0,3350000.0,0.9,POINT (-73.5955146 41.0647147),-73.5955146,41.0647147,"4,054","36,859",142009,4
2008,Milford,Single Family,70356,2007,2008-03-14,95 BERTROSE AVE,203830.0,290000.0,0.7,POINT (-73.08937 41.19305),-73.08937,41.19305,"1,952","29,391",47756,4.8
2008,Bridgeport,Single Family,71747,2007,2008-09-22,399 EAST AVENUE,66990.0,36000.0,1.86,POINT (-73.1583 41.19145),-73.1583,41.19145,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,70794,2007,2008-03-05,237 HANSEN AVE.,128810.0,217652.0,0.59,POINT (-73.22484 41.16346),-73.22484,41.16346,"2,404","44,709",50265,8.7
2008,Fairfield,Single Family,70583,2007,2008-07-02,940 OLD FIELD RD,644980.0,820000.0,0.79,POINT (-73.26694 41.13341),-73.26694,41.13341,"2,278","24,424",59671,4.6
2008,Branford,Condo,70215,2007,2008-03-12,73 QUARRY DOCK RD,228600.0,317500.0,0.72,POINT (-72.81455 41.26795),-72.81455,41.26795,"1,130","12,687",45337,4.8
2008,Branford,Single Family,70322,2007,2008-05-30,3 TOTOKET RD,258100.0,585000.0,0.44,POINT (-72.7756635 41.282381),-72.7756635,41.282381,"1,130","12,687",45337,4.8
2008,Bridgeport,Single Family,71348,2007,2008-06-27,10 POWELL PL,141060.0,220000.0,0.64,POINT (-73.2169 41.19461),-73.2169,41.19461,"2,404","44,709",50265,8.7
2008,Milford,Single Family,70779,2007,2008-09-03,26 CARTER DR,270680.0,320000.0,0.85,POINT (-73.0877417 41.1983569),-73.0877417,41.1983569,"1,952","29,391",47756,4.8
2008,Meriden,Single Family,70559,2007,2008-06-02,229 DANA LN,169740.0,260000.0,0.65,POINT (-72.84406 41.5234),-72.84406,41.5234,"1,347","23,964",44792,6.9
2008,Milford,Condo,70705,2007,2008-08-07,31 SHEA AVE,172820.0,213000.0,0.81,POINT (-73.08199 41.19688),-73.08199,41.19688,"1,952","29,391",47756,4.8
2008,Branford,Condo,70296,2007,2008-05-13,24 MANORWOOD DR,101300.0,175000.0,0.58,POINT (-72.79831 41.29098),-72.79831,41.29098,"1,130","12,687",45337,4.8
2008,Bridgeport,Single Family,71658,2007,2008-09-02,440 COLORADO AVENUE,79600.0,177371.0,0.45,POINT (-73.21068 41.17371),-73.21068,41.17371,"2,404","44,709",50265,8.7
2008,Branford,Single Family,70195,2007,2008-02-27,3 TOOLE DRIVE,169100.0,245000.0,0.69,POINT (-72.8074 41.27133),-72.8074,41.27133,"1,130","12,687",45337,4.8
2008,Meriden,Single Family,70309,2007,2008-01-30,33 BIRCH RD,169550.0,184900.0,0.92,POINT (-72.811287 41.5240498),-72.811287,41.5240498,"1,347","23,964",44792,6.9
2008,Meriden,Single Family,70527,2007,2008-05-15,12 ORIOLE WAY,161890.0,274900.0,0.59,POINT (-72.79485 41.55752),-72.79485,41.55752,"1,347","23,964",44792,6.9
2008,Bridgeport,Single Family,71074,2007,2008-05-01,162 CLEVELAND AVE,92120.0,230000.0,0.4,POINT (-73.2083335 41.1921996),-73.2083335,41.1921996,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70412,2007,2008-04-14,150 CAT ROCK RD,1530550.0,2025000.0,0.76,POINT (-73.59534 41.06972),-73.59534,41.06972,"4,054","36,859",142009,4
2008,Greenwich,Condo,70752,2007,2008-08-20,185 MILBANK AVE #E,1781780.0,2320000.0,0.77,POINT (-73.62218 41.02845),-73.62218,41.02845,"4,054","36,859",142009,4
2008,Meriden,Single Family,70803,2007,2008-09-05,25 THURROTT AVE,144100.0,275000.0,0.52,POINT (-72.75337 41.54497),-72.75337,41.54497,"1,347","23,964",44792,6.9
2008,Bridgeport,Single Family,71061,2007,2008-04-29,15 RITA AVE,105690.0,165000.0,0.64,POINT (-73.19001 41.21463),-73.19001,41.21463,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71668,2007,2008-09-04,157 JEWETT AVENUE,129920.0,300000.0,0.43,POINT (-73.21379 41.21212),-73.21379,41.21212,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70790,2007,2008-09-03,17 PALMER LN,1725430.0,3000000.0,0.58,POINT (-73.57724 41.02583),-73.57724,41.02583,"4,054","36,859",142009,4
2008,Bridgeport,Condo,71306,2007,2008-06-18,63 VERNON ST #65,117740.0,175000.0,0.67,POINT (-73.18594 41.19335),-73.18594,41.19335,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70271,2007,2008-02-04,443 NORTH ST,970760.0,1265000.0,0.77,POINT (-72.6568973 41.9378272),-72.6568973,41.9378272,"4,054","36,859",142009,4
2008,Greenwich,Single Family,70271,2007,2008-02-04,443 NORTH ST,970760.0,1265000.0,0.77,POINT (-73.6214132 41.0670532),-73.6214132,41.0670532,"4,054","36,859",142009,4
2008,Bridgeport,Single Family,71194,2007,2008-05-23,846 RUTH ST,136160.0,229900.0,0.59,POINT (-73.22543 41.20618),-73.22543,41.20618,"2,404","44,709",50265,8.7
2008,Norwalk,Single Family,70415,2007,2008-02-20,82 WEST ROCKS RD,245980.0,360000.0,0.68,POINT (-73.41423 41.13463),-73.41423,41.13463,"3,178","45,121",78022,4.7
2008,Bridgeport,Single Family,71639,2007,2008-08-29,307 SELTSAM ROAD,97080.0,160000.0,0.61,POINT (-73.18482 41.21296),-73.18482,41.21296,"2,404","44,709",50265,8.7
2008,Bridgeport,Condo,70692,2007,2008-02-12,"2625 PARK AVE, #PHG",57100.0,130000.0,0.44,POINT (-73.21565 41.19359),-73.21565,41.19359,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70788,2007,2008-09-02,75 GLENVILLE ST,511210.0,870000.0,0.59,POINT (-73.66956 41.03523),-73.66956,41.03523,"4,054","36,859",142009,4
2008,Hamden,Single Family,70512,2007,2008-06-02,70 CHAUNCEY RD,163590.0,230000.0,0.71,POINT (-72.94823 41.38789),-72.94823,41.38789,"1,540","20,757",42293,5.4
2008,Norwalk,Condo,70598,2007,2008-04-07,45 MAPLE ST,86170.0,100000.0,0.86,POINT (-73.423 41.11269),-73.423,41.11269,"3,178","45,121",78022,4.7
2008,Milford,Condo,70331,2007,2008-02-29,300 MEADOWSIDE RD #107,96330.0,142500.0,0.68,POINT (-73.06641 41.21212),-73.06641,41.21212,"1,952","29,391",47756,4.8
2008,Meriden,Single Family,70757,2007,2008-08-20,31 KENSINGTON AVE,131850.0,84658.0,1.56,POINT (-72.79448 41.54932),-72.79448,41.54932,"1,347","23,964",44792,6.9
2008,Bridgeport,Single Family,71467,2007,2008-07-23,2424 NORTH AVE,195310.0,309209.0,0.63,POINT (-73.21685 41.17807),-73.21685,41.17807,"2,404","44,709",50265,8.7
2008,Hamden,Condo,70252,2007,2008-02-04,1212 WHITNEY AVE #2-H,65870.0,60000.0,1.1,POINT (-72.91227 41.34486),-72.91227,41.34486,"1,540","20,757",42293,5.4
2008,Bridgeport,Condo,70969,2007,2008-04-08,974 A WILLIAM ST,28300.0,27000.0,1.05,POINT (-73.18509 41.1975),-73.18509,41.1975,"2,404","44,709",50265,8.7
2008,Meriden,Single Family,70849,2007,2008-09-30,123 DRYDEN DR,151960.0,140000.0,1.09,POINT (-72.78996 41.52683),-72.78996,41.52683,"1,347","23,964",44792,6.9
2008,Milford,Condo,70498,2007,2008-05-19,333 WEST AVE #10,133670.0,150000.0,0.89,POINT (-73.09148 41.21449),-73.09148,41.21449,"1,952","29,391",47756,4.8
2008,Bridgeport,Single Family,71489,2007,2008-07-28,109 BRITTIN AVE,159610.0,321500.0,0.5,POINT (-73.22311 41.15699),-73.22311,41.15699,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71089,2007,2008-05-02,139 SEQUOIA RD,106690.0,209900.0,0.51,POINT (-73.21598 41.22636),-73.21598,41.22636,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71253,2007,2008-06-06,261 COLEMAN ST,82120.0,55000.0,1.49,POINT (-73.20026 41.18045),-73.20026,41.18045,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71237,2007,2008-06-04,766 CAPITOL AVE,91840.0,140000.0,0.66,POINT (-73.20442 41.19477),-73.20442,41.19477,"2,404","44,709",50265,8.7
2008,Fairfield,Single Family,70838,2007,2008-09-29,41 COUNTRY RD,331520.0,525000.0,0.63,POINT (-73.24321 41.17307),-73.24321,41.17307,"2,278","24,424",59671,4.6
2008,Meriden,Single Family,70776,2007,2008-08-28,82 CART PATH DR,119870.0,215000.0,0.56,POINT (-72.77214 41.51542),-72.77214,41.51542,"1,347","23,964",44792,6.9
2008,Branford,Single Family,70486,2007,2008-09-10,23 FEATHERBED LN,215000.0,400000.0,0.54,POINT (-72.77688 41.2944),-72.77688,41.2944,"1,130","12,687",45337,4.8
2008,Branford,Single Family,70412,2007,2008-07-30,5 KNOLLWOOD DR,255200.0,408500.0,0.62,POINT (-73.6276578 41.049243),-73.6276578,41.049243,"1,130","12,687",45337,4.8
2008,Greenwich,Single Family,70720,2007,2008-08-07,88 NORTH OLD STONE BRIDGE RD,1233540.0,1850000.0,0.67,POINT (-73.59219 41.06711),-73.59219,41.06711,"4,054","36,859",142009,4
2008,Bridgeport,Single Family,71436,2007,2008-07-16,745 UNION AVE,78690.0,185000.0,0.43,POINT (-73.16524 41.18214),-73.16524,41.18214,"2,404","44,709",50265,8.7
2008,Fairfield,Single Family,70333,2007,2008-03-26,81 WEBSTER ST,212800.0,46750.0,4.55,POINT (-73.23306 41.16529),-73.23306,41.16529,"2,278","24,424",59671,4.6
2008,Fairfield,Single Family,70723,2007,2008-08-19,250 HIGH ST,469350.0,590000.0,0.8,POINT (-73.24237 41.16498),-73.24237,41.16498,"2,278","24,424",59671,4.6
2008,Branford,Single Family,70440,2007,2008-08-13,30 PAWSON TRAIL,407500.0,195000.0,2.09,POINT (-72.81737 41.25816),-72.81737,41.25816,"1,130","12,687",45337,4.8
2008,Hamden,Condo,70202,2007,2008-01-10,126 EAST GATE LANE #126,112910.0,180000.0,0.63,POINT (-72.92552 41.37423),-72.92552,41.37423,"1,540","20,757",42293,5.4
2008,Branford,Single Family,70240,2007,2008-01-01,26 VICTORIA DRIVE,188200.0,369000.0,0.51,POINT (-72.78741 41.28831),-72.78741,41.28831,"1,130","12,687",45337,4.8
2008,Hamden,Single Family,70716,2007,2008-08-18,39 FAIRVIEW AVE,131320.0,139000.0,0.94,POINT (-72.94121 41.3394),-72.94121,41.3394,"1,540","20,757",42293,5.4
2008,Milford,Single Family,70733,2007,2008-08-20,33 AVON ST,223930.0,271000.0,0.83,POINT (-72.9115106 41.3202356),-72.9115106,41.3202356,"1,952","29,391",47756,4.8
2008,Bridgeport,Single Family,71059,2007,2008-04-29,60 TRAVIS DR,143370.0,165000.0,0.87,POINT (-73.2228 41.22366),-73.2228,41.22366,"2,404","44,709",50265,8.7
2008,Milford,Single Family,70641,2007,2008-07-14,6 SEASIDE CT,203600.0,230000.0,0.89,POINT (-73.06321 41.21682),-73.06321,41.21682,"1,952","29,391",47756,4.8
2008,Norwalk,Single Family,70864,2007,2008-07-29,141 WOLFPIT AVE,362740.0,860000.0,0.42,POINT (-73.38884 41.13217),-73.38884,41.13217,"3,178","45,121",78022,4.7
2008,Milford,Single Family,70666,2007,2008-07-25,25 LONDONDERRY LN,294370.0,365000.0,0.81,POINT (-73.00596 41.23891),-73.00596,41.23891,"1,952","29,391",47756,4.8
2008,Fairfield,Single Family,70293,2007,2008-03-04,40 FIGLAR AVE,334530.0,197500.0,1.69,POINT (-73.24806 41.16667),-73.24806,41.16667,"2,278","24,424",59671,4.6
2008,Greenwich,Single Family,70216,2007,2008-01-09,50 CARRIGLEA DR,4108860.0,5500000.0,0.75,POINT (-73.58821 41.02149),-73.58821,41.02149,"4,054","36,859",142009,4
2008,Greenwich,Condo,70411,2007,2008-04-14,22 VALLEY DR,692580.0,750000.0,0.92,POINT (-73.64301754887435 41.02829479822922),-73.64301755,41.0282948,"4,054","36,859",142009,4
2008,Bridgeport,Single Family,71114,2007,2008-05-05,360 WADE ST,157730.0,282000.0,0.56,POINT (-73.21511 41.18366),-73.21511,41.18366,"2,404","44,709",50265,8.7
2008,Norwalk,Condo,70544,2007,2008-04-28,1 CANFIELD CROSSING,609000.0,1100000.0,0.55,POINT (-73.38963 41.09233),-73.38963,41.09233,"3,178","45,121",78022,4.7
2008,Bridgeport,Single Family,71512,2007,2008-08-01,505 GURDON STREET,116000.0,225000.0,0.52,POINT (-73.20278 41.20479),-73.20278,41.20479,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70781,2007,2008-08-29,127 WEAVER ST,1870470.0,2000000.0,0.94,POINT (-73.65135 41.02518),-73.65135,41.02518,"4,054","36,859",142009,4
2008,Bridgeport,Single Family,70596,2007,2008-01-18,829 NOBLE AVE,74790.0,178000.0,0.42,POINT (-73.18395 41.19296),-73.18395,41.19296,"2,404","44,709",50265,8.7
2008,Branford,Condo,70214,2007,2008-03-11,63 FOXBRIDGE VILLAGE,138500.0,244000.0,0.57,POINT (-72.82895641783078 41.30752503382188),-72.82895642,41.30752503,"1,130","12,687",45337,4.8
2008,Fairfield,Single Family,70435,2007,2008-05-12,757 REEF RD,427280.0,390000.0,1.1,POINT (-73.24935 41.13287),-73.24935,41.13287,"2,278","24,424",59671,4.6
2008,Bridgeport,Single Family,71696,2007,2008-09-12,30 ECKART STREET,147150.0,350000.0,0.42,POINT (-73.23152 41.22221),-73.23152,41.22221,"2,404","44,709",50265,8.7
2008,Branford,Condo,70304,2007,2008-05-20,83 HAMPTON PARK,122300.0,220000.0,0.56,POINT (-72.82536 41.3075),-72.82536,41.3075,"1,130","12,687",45337,4.8
2008,Hamden,Single Family,70556,2007,2008-06-20,11 LYNMOOR PL,130760.0,32031.0,4.08,POINT (-72.89789 41.34006),-72.89789,41.34006,"1,540","20,757",42293,5.4
2008,Hamden,Condo,70420,2007,2008-04-29,304 PINE ROCK AVE #C10,34090.0,66500.0,0.51,POINT (-72.94536 41.34158),-72.94536,41.34158,"1,540","20,757",42293,5.4
2008,Meriden,Single Family,70260,2007,2008-01-04,65 LENORE DR,187640.0,266000.0,0.71,POINT (-72.80261 41.50733),-72.80261,41.50733,"1,347","23,964",44792,6.9
2008,Branford,Single Family,70330,2007,2008-06-15,245 ALPS RD,117700.0,170000.0,0.69,POINT (-72.8483787 41.262028),-72.8483787,41.262028,"1,130","12,687",45337,4.8
2008,Fairfield,Condo,70456,2007,2008-05-20,187 KNAPPS HWY,210140.0,264000.0,0.8,POINT (-73.23424 41.18428),-73.23424,41.18428,"2,278","24,424",59671,4.6
2008,Greenwich,Single Family,70648,2007,2008-07-15,27 ROCKMERE AVE,430500.0,675000.0,0.64,POINT (-73.57107 41.04474),-73.57107,41.04474,"4,054","36,859",142009,4
2008,Norwalk,Condo,70757,2007,2008-06-20,71B OSBORNE AVE,214060.0,429000.0,0.5,POINT (-73.40865 41.10618),-73.40865,41.10618,"3,178","45,121",78022,4.7
2008,Milford,Single Family,70831,2007,2008-09-24,68 DALTON RD,204910.0,305000.0,0.67,POINT (-73.00868 41.22764),-73.00868,41.22764,"1,952","29,391",47756,4.8
2008,Greenwich,Condo,70620,2007,2008-07-02,63 INDIAN HARBOR DR #6,465920.0,550000.0,0.85,POINT (-73.61995 41.02),-73.61995,41.02,"4,054","36,859",142009,4
2008,Bridgeport,Condo,70729,2007,2008-02-20,184 HUNTINGTON TPK. #5,69970.0,185000.0,0.38,POINT (-73.17677 41.21152),-73.17677,41.21152,"2,404","44,709",50265,8.7
2008,Greenwich,Single Family,70513,2007,2008-05-22,7 FINNEY KNOLL,1337070.0,2250000.0,0.59,POINT (-73.58638 41.04233),-73.58638,41.04233,"4,054","36,859",142009,4
2008,Meriden,Condo,70347,2007,2008-02-20,502 PADDOCK AVE,116688.0,163000.0,0.72,POINT (-72.77631 41.51491),-72.77631,41.51491,"1,347","23,964",44792,6.9
2008,Hamden,Single Family,70354,2007,2008-03-31,35 FORD ST,181930.0,275000.0,0.66,POINT (-72.91045 41.35611),-72.91045,41.35611,"1,540","20,757",42293,5.4
2008,Hamden,Condo,70703,2007,2008-08-12,56 SHEPARD AVE,101290.0,165000.0,0.61,POINT (-72.91613 41.37787),-72.91613,41.37787,"1,540","20,757",42293,5.4
2008,Bridgeport,Single Family,71514,2007,2008-08-01,55 WOODROW AVENUE,114730.0,206000.0,0.56,POINT (-73.1928 41.21344),-73.1928,41.21344,"2,404","44,709",50265,8.7
2008,Bridgeport,Single Family,71471,2007,2008-07-23,16 HARVEY ST,92200.0,215584.0,0.43,POINT (-73.16428 41.19518),-73.16428,41.19518,"2,404","44,709",50265,8.7
