Town,Year,Crime Type,Number of Crimes Committed,"Number of Crimes Committed per 100,000",Crime ID,State,geometry
Andover,2016,Total Violent Crime,0.0,0.0,67,CT,POINT (-72.37036 41.7373212)
Andover,2016,Total Property Crime,4.0,125.3,68,CT,POINT (-72.37036 41.7373212)
Andover,2016,Aggravated Assault,0.0,0.0,69,CT,POINT (-72.37036 41.7373212)
Andover,2016,Murder,0.0,0.0,70,CT,POINT (-72.37036 41.7373212)
Andover,2016,Rape,0.0,0.0,71,CT,POINT (-72.37036 41.7373212)
Andover,2016,Robbery,0.0,0.0,72,CT,POINT (-72.37036 41.7373212)
Andover,2016,Burglary,2.0,62.6,73,CT,POINT (-72.37036 41.7373212)
Andover,2016,Larceny,2.0,62.6,74,CT,POINT (-72.37036 41.7373212)
Andover,2016,Motor Vehicle Theft,0.0,0.0,75,CT,POINT (-72.37036 41.7373212)
Andover,2016,Arson,0.0,0.0,76,CT,POINT (-72.37036 41.7373212)
Andover,2017,Total Crime,8.0,250.2,77,CT,POINT (-72.37036 41.7373212)
Andover,2017,Total Violent Crime,0.0,0.0,78,CT,POINT (-72.37036 41.7373212)
Andover,2017,Total Property Crime,8.0,250.2,79,CT,POINT (-72.37036 41.7373212)
Andover,2017,Aggravated Assault,0.0,0.0,80,CT,POINT (-72.37036 41.7373212)
Andover,2017,Murder,0.0,0.0,81,CT,POINT (-72.37036 41.7373212)
Andover,2017,Rape,0.0,0.0,82,CT,POINT (-72.37036 41.7373212)
Andover,2017,Robbery,0.0,0.0,83,CT,POINT (-72.37036 41.7373212)
Andover,2017,Burglary,4.0,125.1,84,CT,POINT (-72.37036 41.7373212)
Andover,2017,Larceny,4.0,125.1,85,CT,POINT (-72.37036 41.7373212)
Andover,2017,Motor Vehicle Theft,0.0,0.0,86,CT,POINT (-72.37036 41.7373212)
Andover,2017,Arson,0.0,0.0,87,CT,POINT (-72.37036 41.7373212)
Ansonia,2010,Total Crime,355.0,1823.2,88,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Total Violent Crime,28.0,143.8,89,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Total Property Crime,327.0,1679.4,90,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Aggravated Assault,8.0,41.1,91,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Murder,0.0,0.0,92,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Rape,2.0,10.3,93,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Robbery,18.0,92.4,94,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Burglary,36.0,184.9,95,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Larceny,252.0,1294.2,96,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Motor Vehicle Theft,39.0,200.3,97,CT,POINT (-73.043713 41.3423505)
Ansonia,2010,Arson,3.0,15.4,98,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Total Crime,405.0,2076.2,99,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Total Violent Crime,31.0,158.9,100,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Total Property Crime,374.0,1917.3,101,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Aggravated Assault,7.0,35.9,102,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Murder,2.0,10.3,103,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Rape,3.0,15.4,104,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Robbery,19.0,97.4,105,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Burglary,49.0,251.2,106,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Larceny,284.0,1455.9,107,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Motor Vehicle Theft,41.0,210.2,108,CT,POINT (-73.043713 41.3423505)
Ansonia,2011,Arson,3.0,15.4,109,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Total Crime,485.0,2479.6,110,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Total Violent Crime,29.0,148.3,111,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Total Property Crime,456.0,2331.3,112,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Aggravated Assault,10.0,51.1,113,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Murder,0.0,0.0,114,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Rape,4.0,20.4,115,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Robbery,15.0,76.7,116,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Burglary,81.0,414.1,117,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Larceny,317.0,1620.7,118,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Motor Vehicle Theft,58.0,296.5,119,CT,POINT (-73.043713 41.3423505)
Ansonia,2012,Arson,1.0,5.1,120,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Total Crime,427.0,2180.5,121,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Total Violent Crime,33.0,168.5,122,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Total Property Crime,394.0,2011.9,123,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Aggravated Assault,12.0,61.3,124,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Murder,0.0,0.0,125,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Rape,5.0,25.5,126,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Robbery,16.0,81.7,127,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Burglary,59.0,301.3,128,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Larceny,285.0,1455.3,129,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Motor Vehicle Theft,50.0,255.3,130,CT,POINT (-73.043713 41.3423505)
Ansonia,2013,Arson,1.0,5.1,131,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Total Crime,410.0,2095.2,132,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Total Violent Crime,36.0,184.0,133,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Total Property Crime,374.0,1911.2,134,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Aggravated Assault,12.0,61.3,135,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Murder,0.0,0.0,136,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Rape,6.0,30.7,137,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Robbery,18.0,92.0,138,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Burglary,62.0,316.8,139,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Larceny,282.0,1441.1,140,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Motor Vehicle Theft,30.0,153.3,141,CT,POINT (-73.043713 41.3423505)
Ansonia,2014,Arson,2.0,10.2,142,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Total Crime,380.0,1943.9,143,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Total Violent Crime,25.0,127.9,144,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Total Property Crime,355.0,1816.0,145,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Aggravated Assault,8.0,40.9,146,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Murder,0.0,0.0,147,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Rape,5.0,25.6,148,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Robbery,12.0,61.4,149,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Burglary,47.0,240.4,150,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Larceny,269.0,1376.1,151,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Motor Vehicle Theft,39.0,199.5,152,CT,POINT (-73.043713 41.3423505)
Ansonia,2015,Arson,0.0,0.0,153,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Total Crime,360.0,1845.9,154,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Total Violent Crime,27.0,138.4,155,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Total Property Crime,333.0,1707.4,156,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Aggravated Assault,13.0,66.7,157,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Murder,0.0,0.0,158,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Rape,3.0,15.4,159,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Robbery,11.0,56.4,160,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Burglary,47.0,241.0,161,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Larceny,245.0,1256.2,162,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Motor Vehicle Theft,41.0,210.2,163,CT,POINT (-73.043713 41.3423505)
Ansonia,2016,Arson,1.0,5.1,164,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Total Crime,378.0,1935.5,165,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Total Violent Crime,22.0,112.6,166,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Total Property Crime,356.0,1822.8,167,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Aggravated Assault,13.0,66.6,168,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Murder,0.0,0.0,169,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Rape,6.0,30.7,170,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Robbery,3.0,15.4,171,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Burglary,23.0,117.8,172,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Larceny,284.0,1454.2,173,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Motor Vehicle Theft,49.0,250.9,174,CT,POINT (-73.043713 41.3423505)
Ansonia,2017,Arson,1.0,5.1,175,CT,POINT (-73.043713 41.3423505)
Ashford,2010,Total Crime,34.0,790.7,176,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Total Violent Crime,3.0,69.8,177,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Total Property Crime,31.0,720.9,178,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Aggravated Assault,2.0,46.5,179,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Murder,0.0,0.0,180,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Rape,0.0,0.0,181,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Robbery,1.0,23.3,182,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Burglary,17.0,395.3,183,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Larceny,4.0,93.0,184,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Motor Vehicle Theft,10.0,232.6,185,CT,POINT (-72.1214653 41.8731532)
Ashford,2010,Arson,0.0,0.0,186,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Total Crime,23.0,533.9,187,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Total Violent Crime,3.0,69.6,188,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Total Property Crime,20.0,464.3,189,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Aggravated Assault,2.0,46.4,190,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Murder,0.0,0.0,191,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Rape,0.0,0.0,192,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Robbery,1.0,23.2,193,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Burglary,10.0,232.1,194,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Larceny,9.0,208.9,195,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Motor Vehicle Theft,1.0,23.2,196,CT,POINT (-72.1214653 41.8731532)
Ashford,2011,Arson,0.0,0.0,197,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Total Crime,19.0,439.8,198,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Total Violent Crime,2.0,46.3,199,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Total Property Crime,17.0,393.5,200,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Aggravated Assault,2.0,46.3,201,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Murder,0.0,0.0,202,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Rape,0.0,0.0,203,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Robbery,0.0,0.0,204,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Burglary,9.0,208.3,205,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Larceny,8.0,185.2,206,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Motor Vehicle Theft,0.0,0.0,207,CT,POINT (-72.1214653 41.8731532)
Ashford,2012,Arson,0.0,0.0,208,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Total Crime,26.0,601.2,209,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Total Violent Crime,3.0,69.4,210,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Total Property Crime,23.0,531.8,211,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Aggravated Assault,2.0,46.2,212,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Murder,0.0,0.0,213,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Rape,1.0,23.1,214,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Robbery,0.0,0.0,215,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Burglary,12.0,277.5,216,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Larceny,11.0,254.3,217,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Motor Vehicle Theft,0.0,0.0,218,CT,POINT (-72.1214653 41.8731532)
Ashford,2013,Arson,0.0,0.0,219,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Total Crime,30.0,694.1,220,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Total Violent Crime,3.0,69.4,221,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Total Property Crime,27.0,624.7,222,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Aggravated Assault,2.0,46.3,223,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Murder,0.0,0.0,224,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Rape,1.0,23.1,225,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Robbery,0.0,0.0,226,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Burglary,12.0,277.6,227,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Larceny,13.0,300.8,228,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Motor Vehicle Theft,2.0,46.3,229,CT,POINT (-72.1214653 41.8731532)
Ashford,2014,Arson,0.0,0.0,230,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Total Crime,18.0,417.0,231,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Total Violent Crime,3.0,69.5,232,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Total Property Crime,15.0,347.5,233,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Aggravated Assault,2.0,46.3,234,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Murder,0.0,0.0,235,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Rape,0.0,0.0,236,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Robbery,1.0,23.2,237,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Burglary,8.0,185.3,238,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Larceny,6.0,139.0,239,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Motor Vehicle Theft,1.0,23.2,240,CT,POINT (-72.1214653 41.8731532)
Ashford,2015,Arson,0.0,0.0,241,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Total Crime,19.0,441.1,242,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Total Violent Crime,2.0,46.4,243,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Total Property Crime,17.0,394.7,244,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Aggravated Assault,1.0,23.2,245,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Murder,0.0,0.0,246,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Rape,1.0,23.2,247,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Robbery,0.0,0.0,248,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Burglary,4.0,92.9,249,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Larceny,8.0,185.7,250,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Motor Vehicle Theft,5.0,116.1,251,CT,POINT (-72.1214653 41.8731532)
Ashford,2016,Arson,0.0,0.0,252,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Total Crime,30.0,695.6,253,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Total Violent Crime,1.0,23.2,254,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Total Property Crime,29.0,672.4,255,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Aggravated Assault,1.0,23.2,256,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Murder,0.0,0.0,257,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Rape,0.0,0.0,258,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Robbery,0.0,0.0,259,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Burglary,8.0,185.5,260,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Larceny,16.0,371.0,261,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Motor Vehicle Theft,5.0,115.9,262,CT,POINT (-72.1214653 41.8731532)
Ashford,2017,Arson,0.0,0.0,263,CT,POINT (-72.1214653 41.8731532)
Avon,2010,Total Crime,192.0,1155.7,264,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Total Violent Crime,6.0,36.1,265,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Total Property Crime,186.0,1119.6,266,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Aggravated Assault,4.0,24.1,267,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Murder,0.0,0.0,268,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Rape,1.0,6.0,269,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Robbery,1.0,6.0,270,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Burglary,38.0,228.7,271,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Larceny,147.0,884.8,272,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Motor Vehicle Theft,1.0,6.0,273,CT,POINT (-72.8306541 41.8098209)
Avon,2010,Arson,1.0,6.0,274,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Total Crime,181.0,1087.5,275,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Total Violent Crime,0.0,0.0,276,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Total Property Crime,181.0,1087.5,277,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Aggravated Assault,0.0,0.0,278,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Murder,0.0,0.0,279,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Rape,0.0,0.0,280,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Robbery,0.0,0.0,281,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Burglary,29.0,174.2,282,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Larceny,150.0,901.2,283,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Motor Vehicle Theft,2.0,12.0,284,CT,POINT (-72.8306541 41.8098209)
Avon,2011,Arson,0.0,0.0,285,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Total Crime,174.0,1042.6,286,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Total Violent Crime,5.0,30.0,287,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Total Property Crime,169.0,1012.6,288,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Aggravated Assault,1.0,6.0,289,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Murder,0.0,0.0,290,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Rape,2.0,12.0,291,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Robbery,2.0,12.0,292,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Burglary,25.0,149.8,293,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Larceny,143.0,856.9,294,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Motor Vehicle Theft,1.0,6.0,295,CT,POINT (-72.8306541 41.8098209)
Avon,2012,Arson,0.0,0.0,296,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Total Crime,148.0,885.8,297,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Total Violent Crime,4.0,23.9,298,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Total Property Crime,144.0,861.8,299,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Aggravated Assault,1.0,6.0,300,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Murder,0.0,0.0,301,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Rape,0.0,0.0,302,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Robbery,3.0,18.0,303,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Burglary,20.0,119.7,304,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Larceny,118.0,706.2,305,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Motor Vehicle Theft,6.0,35.9,306,CT,POINT (-72.8306541 41.8098209)
Avon,2013,Arson,1.0,6.0,307,CT,POINT (-72.8306541 41.8098209)
Avon,2014,Total Crime,173.0,1036.1,308,CT,POINT (-72.8306541 41.8098209)
