School ID,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,State,geometry,Student_Open_Date,Open_Year
28,Middletown School District,Wesley School,Public Schools,831411,10 Wesleyan Hills Rd.,Middletown,6457,860-344-0381,CT,POINT (-72.66572542857143 41.52403157142857),1984-01-07,1984
29,East Lyme School District,Niantic Center School,Public Schools,450211,7 West Main St.,Niantic,6357,860-739-3961,CT,POINT (-72.20381252189205 41.32299205),1984-01-07,1984
30,West Hartford School District,Charter Oak International Academy,Public Schools,1550511,425 Oakwood Ave.,West Hartford,6110,860-233-8506,CT,POINT (-72.72196376041666 41.7435034),1984-01-07,1984
31,Andover School District,Andover School District,Public School Districts,10011,35 School Road,Andover,6232,860-742-7339,CT,POINT (-72.3665866 41.7285924),1996-01-07,1996
32,South Windsor School District,Pleasant Valley School,Public Schools,1320211,591 Ellington Rd.,South Windsor,6074,860-610-0291,CT,POINT (-72.5962226 41.8106434),1984-01-07,1984
33,New Haven School District,Barack H. Obama Magnet University School,Public Schools,932811,69 Farnham Ave,New Haven,6515,475-220-4800,CT,POINT (-72.95299966653931 41.3296767),2008-04-09,2008
35,Capitol Region Education Council,Museum Academy,Regional Education Service Center Schools,2410514,11 Turkey Hill Road,Bloomfield,6002,860-231-7800,CT,POINT (-72.7339978517896 41.8233262),,
36,Milford School District,Harborside Middle School,Public Schools,845211,175 High St.,Milford,6460,203-783-3523,CT,POINT (-73.0608801 41.2247943),1997-01-07,1997
37,Hampton School District,Hampton Elementary School,Public Schools,630111,380 Main St.,Hampton,6247,860-455-9409,CT,POINT (-72.0587146970714 41.79239065),1984-01-07,1984
39,Lebanon School District,Lebanon Elementary School,Public Schools,710111,479 Exeter Rd.,Lebanon,6249,860-642-7593,CT,POINT (-72.20485055810715 41.6400855),1984-01-07,1984
40,Westport School District,Coleytown Middle School,Public Schools,1585311,255 North Ave.,Westport,6880,203-341-1610,CT,POINT (-73.3503387 41.1790569),,
41,Danbury School District,Ellsworth Avenue School,Public Schools,341411,53 Ellsworth Ave,Danbury,6810,203-797-4740,CT,POINT (-73.44891483907908 41.402848),1984-01-07,1984
42,New Canaan School District,South School,Public Schools,900211,8 Farm Rd.,New Canaan,6840,203-594-4313,CT,POINT (-73.4824307 41.134534),1984-01-07,1984
43,Park City Prep Charter School District,Park City Prep Charter School,Public Charter Schools,2835113,1550 State Street,Bridgeport,6605,203-953-3766,CT,POINT (-73.2123996420314 41.1696218),2006-01-07,2006
44,Newington School District,Newington High School,Public Schools,946111,605 Willard Ave.,Newington,6111,860-666-5611,CT,POINT (-72.73571587161254 41.70094305),1984-01-07,1984
45,Southington School District,William H. Hatton Elementary School,Public Schools,1310211,50 Spring Lake Rd.,Southington,6489,860-628-3377,CT,POINT (-72.8549399 41.6006573),1984-01-07,1984
46,Windham School District,Windham High School,Public Schools,1636111,355 High St.,Willimantic,6226,860-465-2480,CT,POINT (-72.2128553763319 41.7226949),1984-01-07,1984
47,Canton School District,Canton School District,Public School Districts,230011,4 Market Street,Collinsville,6022,860-693-7704,CT,POINT (-72.922584 41.8108613),1996-01-07,1996
48,Plainville School District,Louis Toffolon School,Public Schools,1100511,145 NorthWest Dr.,Plainville,6062,860-793-3280,CT,POINT (-72.8870154 41.686171),1984-01-07,1984
49,Scotland School District,Scotland Elementary School,Public Schools,1230111,68 Brook Rd.,Scotland,6264,860-423-0064,CT,POINT (-72.08098661009001 41.70355485),1984-01-07,1984
50,East Hartford School District,Governor William Pitkin School,Public Schools,432011,330 Hills St.,East Hartford,6118,860-622-5480,CT,POINT (-72.5913165 41.7438355),1984-01-07,1984
51,Fairfield School District,Roger Ludlowe Middle School,Public Schools,515311,689 Unquowa Rd.,Fairfield,6824,203-255-8345,CT,POINT (-73.2616284 41.1469999),1998-01-07,1998
52,Regional School District 13,Frank Ward Strong School,Regional Schools,2135112,191 Main Street,Durham,6422,860-349-7222,CT,POINT (-72.6790399 41.4763382),2002-01-07,2002
53,Wilton School District,Wilton High School,Public Schools,1616111,395 Danbury Rd.,Wilton,6897,203-762-0381,CT,POINT (-73.4328123 41.2111881),1984-01-07,1984
54,Greenwich School District,New Lebanon School,Public Schools,570611,25 Mead Ave.,Greenwich,6830,203-531-9139,CT,POINT (-73.6551016 41.0006618),1984-01-07,1984
55,Shelton School District,Long Hill School,Public Schools,1260811,565 Long Hill Ave.,Shelton,6484,203-929-4077,CT,POINT (-73.1002831 41.2841948),1984-01-07,1984
56,Regional School District 14,Woodbury Middle School,Regional Schools,2145112,67 Washington Ave.,Woodbury,6798,203-263-4306,CT,POINT (-73.21220576817205 41.5502799),2002-01-07,2002
57,Ansonia School District,Ansonia Middle School,Public Schools,25111,115 Howard Ave.,Ansonia,6401,203-736-5070,CT,POINT (-73.08497148721062 41.3413026),1997-01-07,1997
58,Judicial Centers,Judicial Centers,State Agencies,3480015,455 Winding Brook Drive,Glastonbury,6033,860-368-3800,CT,POINT (-72.5950146 41.7168652),,
59,Meriden School District,Israel Putnam School,Public Schools,800411,133 Parker Ave.,Meriden,6450,203-237-8493,CT,POINT (-72.79163498684211 41.52961847368421),1984-01-07,1984
61,Ellington School District,Crystal Lake School,Public Schools,480211,59 South Road,Ellington,6029,860-896-2322,CT,POINT (-72.37830569264261 41.9299572),1984-01-07,1984
62,Integrated Day Charter School District,Integrated Day Charter School,Public Charter Schools,2640113,68 Thermos Ave.,Norwich,6360,860-892-1900,CT,POINT (-72.07700047294283 41.51167835),1997-01-07,1997
63,Hartford School District,"Breakthrough Magnet School, South",Public Schools,643311,290 Brookfield Street,Hartford,6106,860-695-5700,CT,POINT (-72.7066775 41.7452575),2002-01-07,2002
64,Voluntown School District,Voluntown Elementary School,Public Schools,1470111,195 Main Street,Voluntown,6384,860-376-2325,CT,POINT (-71.86620275311712 41.57457005),1984-01-07,1984
66,Norwich School District,Veterans' Memorial School,Public Schools,1041811,80 Crouch Ave.,Norwich,6360,860-823-4209,CT,POINT (-72.07227478540725 41.50369505),1984-01-07,1984
68,North Canaan School District,North Canaan School District,Public School Districts,1000011,90 Pease Street,Canaan,6018,860-824-5149,CT,POINT (-73.32991713776455 42.03244262242369),1996-01-07,1996
69,Fairfield School District,Sherman School,Public Schools,511311,250 Fern St.,Fairfield,6824,203-255-8330,CT,POINT (-73.2463742 41.1398507),1984-01-07,1984
70,Plainfield School District,Shepard Hill Elementary School,Public Schools,1090411,234 Shepard Hill Rd.,Plainfield,6374,860-564-6432,CT,POINT (-71.90607098362364 41.73342715),1992-01-07,1992
71,East Haddam School District,East Haddam Elementary School,Public Schools,410111,45 Joe Williams Rd.,Moodus,6469,860-873-5076,CT,POINT (-72.4395017180446 41.50075215),1984-02-01,1984
72,New Milford School District,Schaghticoke Middle School,Public Schools,965211,23 Hipp Rd.,New Milford,6776,860-354-2204,CT,POINT (-73.3923293 41.6203043),1984-01-07,1984
73,Regional School District 06,Warren Elementary School,Regional Schools,2060312,21 Sackett Hill Rd.,Warren,6754,860-868-2223,CT,POINT (-73.34786161565492 41.7417962),2002-01-07,2002
74,Trumbull School District,Daniels Farm School,Public Schools,1440811,710 Daniels Farm Rd.,Trumbull,6611,203-452-4388,CT,POINT (-73.1991157 41.2697649),1984-01-07,1984
75,Avon School District,Roaring Brook School,Public Schools,40311,30 Old Wheeler Ln.,Avon,6001,860-404-4810,CT,POINT (-72.8899181 41.7926391),1984-01-07,1984
76,Regional School District 15,Middlebury Elementary School,Regional Schools,2150612,550 Whittemore Rd,Middlebury,6762,203-758-2401,CT,POINT (-73.101003686614 41.52895205),2002-01-07,2002
77,Hartford School District,Hartford Magnet Trinity College Academy,Public Schools,645411,53 Vernon Street,Hartford,6103,860-695-7201,CT,POINT (-72.68647677501892 41.75053665),1999-01-07,1999
78,Hartford School District,Renzulli Gifted and Talented Academy,Public Schools,644011,85 Woodland Street,Hartford,6105,860-695-2140,CT,POINT (-72.7026054 41.7731516),2010-01-07,2010
79,Bridgeport School District,"Biotechnology, Research & Zoological Studies Magnet High School",Public Schools,150611,840 Old Town Road,Bridgeport,6606,203-275-3413,CT,POINT (-73.18527028221652 41.2254734),,
82,New Haven School District,Engineering - Science University Magnet School,Public Schools,931711,500 Boston Post Road,West Haven,6516,475-220-6000,CT,POINT (-72.967098 41.290285),2008-02-09,2008
84,Naugatuck School District,Hillside Intermediate School,Public Schools,880411,51 Hillside Ave.,Naugatuck,6770,203-720-5260,CT,POINT (-73.057977 41.492082),1984-01-07,1984
85,Achievement First Hartford Academy District,Achievement First Hartford Academy,Public Charter Schools,2880113,305 Greenfield Street,Hartford,6112,860-695-6685,CT,POINT (-72.69678585723085 41.78401635),,
86,Stamford School District,Westover School,Public Schools,1351411,412 Stillwater Ave.,Stamford,6902,203-977-4572,CT,POINT (-73.56048200669944 41.0557793),1984-01-07,1984
87,Ridgefield School District,Barlow Mountain Elementary School,Public Schools,1180811,115 Barlow Mountain Rd.,Ridgefield,6877,203-894-5800,CT,POINT (-73.5099305396334 41.32614245334076),2003-01-07,2003
89,Connecticut Technical Education and Career System,Ella T. Grasso Technical High School,CT Technical Education and Career Schools,9002716,189 Fort Hill Rd.,Groton,6340,860-448-0220,CT,POINT (-72.01792441964531 41.34349065),2000-01-07,2000
90,Stonington School District,Deans Mill School,Public Schools,1370511,35 Deans Mill Rd.,Stonington,6378,860-535-2235,CT,POINT (-71.9249525 41.3617886),1984-01-07,1984
91,Portland School District,Portland High School,Public Schools,1136111,95 High Street,Portland,6480,860-342-1720,CT,POINT (-72.6223143 41.58121),1984-01-07,1984
92,Sherman School District,Sherman School District,Public School Districts,1270011,2 Route 37 East,Sherman,6784,860-355-3793,CT,POINT (-73.49633857502826 41.5793068),1996-01-07,1996
93,Waterbury School District,Michael F. Wallace Middle School,Public Schools,1515111,3465 East Main St.,Waterbury,6705,203-574-8140,CT,POINT (-72.9716503 41.5450437),1984-01-07,1984
94,West Hartford School District,Webster Hill School,Public Schools,1551211,125 Webster Hill Blvd.,West Hartford,6117,860-521-0320,CT,POINT (-72.74243082055463 41.74341675),1984-01-07,1984
95,Regional School District 12,Washington Primary School,Regional Schools,2120412,11 School St.,Washington Depot,6794,860-868-7331,CT,POINT (-73.3195003 41.6380151),2002-01-07,2002
96,Hamden School District,Hamden School District,Public School Districts,620011,60 Putnam Avenue,Hamden,6517,203-407-2000,CT,POINT (-72.9141752 41.3451647),1996-01-07,1996
97,New Haven School District,Barnard Environmental Magnet School,Public Schools,930211,170 Derby Ave.,New Haven,6511,475-220-3500,CT,POINT (-72.9525532 41.3095933),1984-01-07,1984
98,Cromwell School District,Cromwell School District,Public School Districts,330011,9 Captain James Mann Memorial Drive,Cromwell,6416,860-632-4830,CT,POINT (-72.6575336 41.6281905),1996-01-07,1996
99,Connecticut Technical Education and Career System,Howell Cheney Technical High School,CT Technical Education and Career Schools,9001616,791 West Middle Tpke.,Manchester,6040,860-649-5396,CT,POINT (-72.56159959424933 41.782225),2000-01-07,2000
100,Watertown School District,Fletcher W. Judson School,Public Schools,1530311,124 Hamilton Lane,Watertown,6795,860-945-4850,CT,POINT (-73.1313793 41.600686),1984-01-07,1984
101,Oxford School District,Great Oak Elementary School,Public Schools,1080111,50 Great Oak Road,Oxford,6478,203-888-6492,CT,POINT (-73.1407422 41.421761),1984-01-07,1984
102,Stratford School District,Harry B. Flood Middle School,Public Schools,1385311,490 Chapel Street,Stratford,6614,203-385-4280,CT,POINT (-73.1195272 41.2388102),1984-01-07,1984
103,Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Public Schools,341911,201 University Blvd.,Danbury,6810,203-778-7462,CT,POINT (-73.4929093 41.4038479),2006-01-07,2006
104,Regional School District 18,Lyme Consolidated School,Regional Schools,2180112,478 Hamburg Road,Lyme,6371,860-434-1233,CT,POINT (-72.3377961 41.413298),2002-01-07,2002
105,Killingly School District,Killingly Memorial School,Public Schools,690311,339 Main St.,Danielson,6239,860-779-6680,CT,POINT (-71.87925117081468 41.8104196),1999-01-07,1999
106,Department of Mental Health and Addiction Services,Connecticut Mental Health Center,State Agency Facilities,3370415,34 Park St.,New Haven,6790,860-262-7175,CT,POINT (-72.936768283232 41.3054443),2007-01-07,2007
107,Waterbury School District,Margaret M. Generali Elementary School,Public Schools,1511111,3196 East Main St.,Waterbury,6705,203-574-8174,CT,POINT (-72.98207579819288 41.54539125),1984-01-07,1984
108,Darien School District,Darien High School,Public Schools,356111,80 High School Ln.,Darien,6820,203-655-3981,CT,POINT (-73.49066448902707 41.08513015),1984-01-07,1984
109,Windham School District,Charles H. Barrows STEM Academy,Public Schools,1630411,141 Tuckie Road,North Windham,6256,860-465-2610,CT,POINT (-72.1764926 41.7173563),,
110,Bozrah School District,Bozrah School District,Public School Districts,130011,8 Bozrah Street Extension,Bozrah,6334,860-887-2561,CT,POINT (-72.1524663928588 41.56308195),1996-01-07,1996
111,Sprague School District,Sprague School District,Public School Districts,1330011,25 Scotland Road,Baltic,6330,860-822-8264,CT,POINT (-72.08583297323483 41.6231168),1996-01-07,1996
113,Thompson School District,Thompson School District,Public School Districts,1410011,785 Riverside Drive,North Grosvenor Dale,6255,860-923-9581,CT,POINT (-71.89787309538576 41.97743775),1996-01-07,1996
114,Lisbon School District,Lisbon School District,Public School Districts,730011,15 Newent Road,Lisbon,6351,860-376-5565,CT,POINT (-72.01530537678278 41.6041633),1996-01-07,1996
115,Bethany School District,Bethany Community School,Public Schools,80111,44 Peck Road,Bethany,6524,203-393-3350,CT,POINT (-73.00002662548647 41.42210500489996),1984-01-07,1984
116,Westport School District,King's Highway Elementary School,Public Schools,1580511,125 Post Rd. West,Westport,6880,203-341-1802,CT,POINT (-73.368317 41.1365282),1984-01-07,1984
117,Wallingford School District,Evarts C. Stevens School,Public Schools,1480911,18 Kondracki Lane,Wallingford,6492,203-294-3750,CT,POINT (-72.81646674812879 41.43414975),1984-01-07,1984
118,Regional School District 07,Northwestern Regional High School,Regional Schools,2076112,100 Battistoni Dr.,Winsted,6098,860-379-8525,CT,POINT (-73.0477852 41.9152045),2002-01-07,2002
119,Franklin School District,Franklin Elementary School,Public Schools,530111,206 Pond Rd.,North Franklin,6254,860-642-7063,CT,POINT (-72.1247989 41.6311727),1984-01-07,1984
120,Granby School District,Granby Memorial Middle School,Public Schools,565111,321 Salmon Brook St.,Granby,6035,860-844-3029,CT,POINT (-72.790763 41.959681),1984-01-07,1984
121,New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Public Schools,934811,400 Canner Street,New Haven,6511,475-220-3400,CT,POINT (-72.9216578 41.3245461),1995-01-07,1995
122,Manchester School District,Waddell School,Public Schools,771311,163 Broad Street,Manchester,6042,860-647-3392,CT,POINT (-72.5344062756586 41.78332355),1984-01-07,1984
123,Bloomfield School District,Bloomfield High School,Public Schools,116111,5 Huckleberry Ln.,Bloomfield,6002,860-286-2630,CT,POINT (-72.7257358 41.8281152),1984-01-07,1984
124,Connecticut Technical Education and Career System,Oliver Wolcott Technical High School,CT Technical Education and Career Schools,9002216,75 Oliver St.,Torrington,6790,860-496-5300,CT,POINT (-73.1119367 41.8109084),2000-01-07,2000
126,Norwich School District,Samuel Huntington School,Public Schools,1040811,80 West Town St.,Norwich,6360,860-823-4204,CT,POINT (-72.10205774647349 41.5499499),1984-01-07,1984
127,Enfield School District,Henry Barnard School,Public Schools,491811,27 Shaker Rd.,Enfield,6082,860-253-6540,CT,POINT (-72.5635418256114 42.0041874),1984-01-07,1984
128,Hartford School District,Sport and Medical Sciences Academy,Public Schools,646511,280 Huyshope Avenue,Hartford,6106,860-695-6900,CT,POINT (-72.6601015 41.7528044),2002-01-07,2002
129,Bridgeport School District,Beardsley School,Public Schools,150211,500 Huntington Rd.,Bridgeport,6610,203-576-7184,CT,POINT (-73.18157011335941 41.19975415),1984-01-07,1984
130,Regional School District 10,Har-Bur Middle School,Regional Schools,2105112,26 Lyon Rd.,Burlington,6013,860-673-6163,CT,POINT (-72.9874807 41.7801482),2002-01-07,2002
131,Rocky Hill School District,Rocky Hill High School,Public Schools,1196111,50 Chapin Ave.,Rocky Hill,6067,860-258-7721,CT,POINT (-72.6473281 41.6699366),1984-01-07,1984
132,Avon School District,Avon High School,Public Schools,46111,510 West Avon Rd.,Avon,6001,860-404-4740,CT,POINT (-72.8618931 41.7830819),1984-01-07,1984
133,New Haven School District,Hill Regional Career High School,Public Schools,936311,140 Legion Ave.,New Haven,6519,475-220-5000,CT,POINT (-72.94106160341263 41.305627),1984-01-07,1984
134,Darien School District,Middlesex Middle School,Public Schools,355111,204 Hollow Tree Ridge Rd.,Darien,6820,203-655-2518,CT,POINT (-73.4969591 41.0738605),1984-01-07,1984
135,Rocky Hill School District,Rocky Hill School District,Public School Districts,1190011,761 Old Main St,Rocky Hill,6067,860-258-7701,CT,POINT (-72.6383844 41.6668309),1996-01-07,1996
136,Stafford School District,West Stafford School,Public Schools,1340411,153 West Stafford Rd.,Stafford Springs,6076,860-684-3181,CT,POINT (-72.3217475 41.9648397),1984-01-07,1984
137,Hartford School District,West Middle School,Public Schools,642111,44 Niles Street,Hartford,6112,860-695-5480,CT,POINT (-72.6964186 41.7701037),1984-01-07,1984
138,Naugatuck School District,Andrew Avenue School,Public Schools,880811,140 Andrew Ave.,Naugatuck,6770,203-720-5221,CT,POINT (-73.0653736 41.483095),1984-01-07,1984
139,Canaan School District,Canaan School District,Public School Districts,210011,246 Warren Turnpike Road,Falls Village,6031,860-824-7791,CT,POINT (-73.36156920408163 41.938168591836735),1996-01-07,1996
140,New London School District,Nathan Hale Arts Magnet School,Public Schools,950911,37 Beech Drive,New London,6320,860-447-6060,CT,POINT (-72.0983353 41.3216796),1984-01-07,1984
141,North Haven School District,Green Acres Elementary School,Public Schools,1010711,146 Upper State St.,North Haven,6473,203-239-5387,CT,POINT (-72.8641231 41.4059327),1984-01-07,1984
142,Thomaston School District,Black Rock School,Public Schools,1400111,57 Branch Rd.,Thomaston,6787,860-283-3040,CT,POINT (-73.0948929 41.6572027),1984-01-07,1984
143,Waterbury School District,Crosby High School,Public Schools,1516211,300 Pierpont Rd.,Waterbury,6705,203-574-8061,CT,POINT (-72.9722766 41.5457725),1984-01-07,1984
144,Putnam School District,Putnam School District,Public School Districts,1160011,152 Woodstock Avenue,Putnam,6260,860-963-6900,CT,POINT (-71.91727064028497 41.92218875),1996-01-07,1996
145,Simsbury School District,Tariffville School,Public Schools,1280311,42 Winthrop St.,Tariffville,6081,860-658-5825,CT,POINT (-72.76763778511673 41.91019095),1984-01-07,1984
146,Stamford School District,Hart School,Public Schools,1352211,61 Adams Ave.,Stamford,6902,203-977-5082,CT,POINT (-73.54721691614587 41.05805665),1992-01-07,1992
147,Cheshire School District,Highland School,Public Schools,250411,490 Highland Ave.,Cheshire,6410,203-272-0335,CT,POINT (-72.8962776 41.5108393),1984-01-07,1984
148,Hamden School District,Helen Street School,Public Schools,620411,285 Helen St.,Hamden,6514,203-407-2030,CT,POINT (-72.94329094934241 41.3500606),1984-01-07,1984
149,Westbrook School District,Westbrook School District,Public School Districts,1540011,158 McVeagh Road,Westbrook,6498,860-399-6432,CT,POINT (-72.45204072604001 41.2980414172316),1996-01-07,1996
150,Hartford School District,Montessori Magnet at Batchelder School,Public Schools,640511,757 New Britain Avenue,Hartford,6106,860-695-2600,CT,POINT (-72.70804754995771 41.7318629),2013-01-07,2013
151,Unified School District #1,MacDougall/Walker Correctional Institution,State Agency Facilities,3362215,1153 East St. South,Suffield,6078,860-627-2127,CT,POINT (-72.6377761 41.9491873),2000-01-07,2000
154,Learn,Marine Science Magnet High School,Regional Education Service Center Schools,2456114,130 Shennecossett Road,Groton,6340,860-434-4800,CT,POINT (-72.07115854209425 41.33737335),2011-01-07,2011
155,West Hartford School District,Smith School,Public Schools,1551711,64 St. James St.,West Hartford,6119,860-236-3317,CT,POINT (-72.72491489511381 41.75238075),1995-01-07,1995
156,New Haven School District,John S. Martinez Sea and Sky STEM School,Public Schools,930811,100 James St.,New Haven,6513,475-220-2000,CT,POINT (-72.9033958 41.3055628),2004-01-07,2004
157,Middletown School District,Middletown School District,Public School Districts,830011,311 Hunting Hill Avenue,Middletown,6457,860-638-1401,CT,POINT (-72.6479502 41.5412252),1996-01-07,1996
158,Cromwell School District,Cromwell High School,Public Schools,336111,1 Donald Harris Dr.,Cromwell,6416,860-632-4841,CT,POINT (-72.65910921386862 41.61665585),1984-01-07,1984
159,Stonington School District,Stonington High School,Public Schools,1376111,176 South Broad St.,Pawcatuck,6379,860-599-5781,CT,POINT (-71.8610752 41.36716),1984-01-07,1984
160,Waterbury School District,Sprague School,Public Schools,1512011,1443 Thomaston Ave.,Waterbury,6704,203-574-8189,CT,POINT (-73.0502183 41.5861491),1984-01-07,1984
161,New Haven School District,Wexler/Grant Community School,Public Schools,933211,55 Foote St.,New Haven,6511,475-220-5600,CT,POINT (-72.93273831045312 41.317917951612195),1984-01-07,1984
162,Norwalk School District,Fox Run Elementary School,Public Schools,1032011,228 Fillow Street,Norwalk,6850,203-899-2860,CT,POINT (-73.4543471 41.1163466),1984-01-07,1984
163,Torrington School District,Torringford School,Public Schools,1430911,800 Charles St.,Torrington,6790,860-489-2300,CT,POINT (-73.0932275 41.8190394),1984-01-07,1984
164,Regional School District 16,Woodland Regional High School,Regional Schools,2166012,135 Back Rimmon Rd.,Beacon Falls,6403,203-881-5551,CT,POINT (-73.0829995 41.4238583),2002-01-07,2002
165,Berlin School District,Mary E. Griswold School,Public Schools,70511,133 Heather Ln.,Kensington,6037,860-828-6336,CT,POINT (-72.7850302 41.6367963),1984-01-07,1984
166,The Bridge Academy District,The Bridge Academy District,Public Charter School Districts,2690013,160 Pulaski Street,Bridgeport,6608,203-336-9999,CT,POINT (-73.18381677808509 41.1838013),1997-01-07,1997
168,Vernon School District,Lake Street School,Public Schools,1460111,201 Lake St.,Vernon,6066,860-870-6085,CT,POINT (-72.4701109 41.8114514),1984-01-07,1984
169,Branford School District,Mary R. Tisko School,Public Schools,141511,118 Damascus Rd.,Branford,6405,203-483-1826,CT,POINT (-72.7890338 41.2845232),1984-01-07,1984
170,Weston School District,Weston High School,Public Schools,1576111,115 School Rd.,Weston,6883,203-221-6500,CT,POINT (-73.37847441784372 41.2102631),1984-01-07,1984
171,Bristol School District,Mountain View School,Public Schools,171711,71 Vera Rd.,Bristol,6010,860-584-7726,CT,POINT (-72.8992489 41.6961609),1998-01-07,1998
172,Newtown School District,Newtown High School,Public Schools,976111,12 Berkshire Rd.,Sandy Hook,6482,203-426-7646,CT,POINT (-73.2714614 41.4099851),1984-01-07,1984
173,Windsor Locks School District,Windsor Locks School District,Public School Districts,1650011,58 South Elm Street,Windsor Locks,6096,860-292-5000,CT,POINT (-72.64346860647494 41.91988715),1996-01-07,1996
174,Farmington School District,West Woods Upper Elementary School,Public Schools,520511,50 Judson Ln.,Farmington,6032,860-284-1230,CT,POINT (-72.8730501 41.7120339),2002-01-07,2002
175,Wallingford School District,Highland School,Public Schools,1480211,200 Highland Avenue,Wallingford,6492,203-294-3970,CT,POINT (-72.83927787399847 41.48812555),1984-01-07,1984
