District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,Student Open Date,School ID,State
Ellington School District,Ellington Middle School,Public Schools,485111,46 Middle Butcher Rd.,Ellington,6029,860-896-2339,01-07-1984,23,CT
Waterbury School District,Bucks Hill School,Public Schools,1510511,330 Bucks Hill Rd.,Waterbury,6704,203-574-8182,01-07-1984,24,CT
New Britain School District,Slade Middle School,Public Schools,895211,183 Steele St.,New Britian,6052,860-225-6395,01-07-1984,25,CT
Regional School District 16,Regional School District 16,Regional School Districts,2160012,30 Coer Road,Prospect,6712,203-758-6671,01-07-2002,26,CT
West Haven School District,Harry M. Bailey Middle School,Public Schools,1565111,106 Morgan Ln.,West Haven,6516,203-937-4380,01-07-1984,27,CT
Middletown School District,Wesley School,Public Schools,831411,10 Wesleyan Hills Rd.,Middletown,6457,860-344-0381,01-07-1984,28,CT
East Lyme School District,Niantic Center School,Public Schools,450211,7 West Main St.,Niantic,6357,860-739-3961,01-07-1984,29,CT
West Hartford School District,Charter Oak International Academy,Public Schools,1550511,425 Oakwood Ave.,West Hartford,6110,860-233-8506,01-07-1984,30,CT
Andover School District,Andover School District,Public School Districts,10011,35 School Road,Andover,6232,860-742-7339,01-07-1996,31,CT
South Windsor School District,Pleasant Valley School,Public Schools,1320211,591 Ellington Rd.,South Windsor,6074,860-610-0291,01-07-1984,32,CT
New Haven School District,Barack H. Obama Magnet University School,Public Schools,932811,69 Farnham Ave,New Haven,6515,475-220-4800,04-09-2008,33,CT
Orange School District,Race Brook School,Public Schools,1070311,107 Grannis Rd.,Orange,6477,203-891-8030,01-07-1984,34,CT
Capitol Region Education Council,Museum Academy,Regional Education Service Center Schools,2410514,11 Turkey Hill Road,Bloomfield,6002,860-231-7800,30-08-2011,35,CT
Milford School District,Harborside Middle School,Public Schools,845211,175 High St.,Milford,6460,203-783-3523,01-07-1997,36,CT
Hampton School District,Hampton Elementary School,Public Schools,630111,380 Main St.,Hampton,6247,860-455-9409,01-07-1984,37,CT
Department of Mental Health and Addiction Services,River Valley Services,State Agency Facilities,3370815,"Leak Hall, Silver Street, P.O. Box 351",Middletown,6457,860-262-7175,01-07-2007,38,CT
Lebanon School District,Lebanon Elementary School,Public Schools,710111,479 Exeter Rd.,Lebanon,6249,860-642-7593,01-07-1984,39,CT
Westport School District,Coleytown Middle School,Public Schools,1585311,255 North Ave.,Westport,6880,203-341-1610,28-12-2020,40,CT
Danbury School District,Ellsworth Avenue School,Public Schools,341411,53 Ellsworth Ave,Danbury,6810,203-797-4740,01-07-1984,41,CT
New Canaan School District,South School,Public Schools,900211,8 Farm Rd.,New Canaan,6840,203-594-4313,01-07-1984,42,CT
Park City Prep Charter School District,Park City Prep Charter School,Public Charter Schools,2835113,1550 State Street,Bridgeport,6605,203-953-3766,01-07-2006,43,CT
Newington School District,Newington High School,Public Schools,946111,605 Willard Ave.,Newington,6111,860-666-5611,01-07-1984,44,CT
Southington School District,William H. Hatton Elementary School,Public Schools,1310211,50 Spring Lake Rd.,Southington,6489,860-628-3377,01-07-1984,45,CT
Windham School District,Windham High School,Public Schools,1636111,355 High St.,Willimantic,6226,860-465-2480,01-07-1984,46,CT
Canton School District,Canton School District,Public School Districts,230011,4 Market Street,Collinsville,6022,860-693-7704,01-07-1996,47,CT
Plainville School District,Louis Toffolon School,Public Schools,1100511,145 NorthWest Dr.,Plainville,6062,860-793-3280,01-07-1984,48,CT
Scotland School District,Scotland Elementary School,Public Schools,1230111,68 Brook Rd.,Scotland,6264,860-423-0064,01-07-1984,49,CT
East Hartford School District,Governor William Pitkin School,Public Schools,432011,330 Hills St.,East Hartford,6118,860-622-5480,01-07-1984,50,CT
Fairfield School District,Roger Ludlowe Middle School,Public Schools,515311,689 Unquowa Rd.,Fairfield,6824,203-255-8345,01-07-1998,51,CT
Regional School District 13,Frank Ward Strong School,Regional Schools,2135112,191 Main Street,Durham,6422,860-349-7222,01-07-2002,52,CT
Wilton School District,Wilton High School,Public Schools,1616111,395 Danbury Rd.,Wilton,6897,203-762-0381,01-07-1984,53,CT
Greenwich School District,New Lebanon School,Public Schools,570611,25 Mead Ave.,Greenwich,6830,203-531-9139,01-07-1984,54,CT
Shelton School District,Long Hill School,Public Schools,1260811,565 Long Hill Ave.,Shelton,6484,203-929-4077,01-07-1984,55,CT
Regional School District 14,Woodbury Middle School,Regional Schools,2145112,67 Washington Ave.,Woodbury,6798,203-263-4306,01-07-2002,56,CT
Ansonia School District,Ansonia Middle School,Public Schools,25111,115 Howard Ave.,Ansonia,6401,203-736-5070,01-07-1997,57,CT
Judicial Centers,Judicial Centers,State Agencies,3480015,455 Winding Brook Drive,Glastonbury,6033,860-368-3800,14-05-2009,58,CT
Meriden School District,Israel Putnam School,Public Schools,800411,133 Parker Ave.,Meriden,6450,203-237-8493,01-07-1984,59,CT
Chaplin School District,Chaplin School District,Public School Districts,240011,"Box 277, 304 Parish Hill",Chaplin,6235,860-455-9306,01-07-1996,60,CT
Ellington School District,Crystal Lake School,Public Schools,480211,59 South Road,Ellington,6029,860-896-2322,01-07-1984,61,CT
Integrated Day Charter School District,Integrated Day Charter School,Public Charter Schools,2640113,68 Thermos Ave.,Norwich,6360,860-892-1900,01-07-1997,62,CT
Hartford School District,"Breakthrough Magnet School, South",Public Schools,643311,290 Brookfield Street,Hartford,6106,860-695-5700,01-07-2002,63,CT
Voluntown School District,Voluntown Elementary School,Public Schools,1470111,195 Main Street,Voluntown,6384,860-376-2325,01-07-1984,64,CT
Manchester School District,Manchester High School,Public Schools,776111,134 MiddleTpke E,Manchester,6040,860-647-3530,01-07-1984,65,CT
Norwich School District,Veterans' Memorial School,Public Schools,1041811,80 Crouch Ave.,Norwich,6360,860-823-4209,01-07-1984,66,CT
New Britain School District,Jefferson Elementary School,Public Schools,890711,140 Horse Plain Rd.,New Britain,6053,860-223-8007,01-07-1984,67,CT
North Canaan School District,North Canaan School District,Public School Districts,1000011,90 Pease Street,Canaan,6018,860-824-5149,01-07-1996,68,CT
Fairfield School District,Sherman School,Public Schools,511311,250 Fern St.,Fairfield,6824,203-255-8330,01-07-1984,69,CT
Plainfield School District,Shepard Hill Elementary School,Public Schools,1090411,234 Shepard Hill Rd.,Plainfield,6374,860-564-6432,01-07-1992,70,CT
East Haddam School District,East Haddam Elementary School,Public Schools,410111,45 Joe Williams Rd.,Moodus,6469,860-873-5076,02-01-1984,71,CT
New Milford School District,Schaghticoke Middle School,Public Schools,965211,23 Hipp Rd.,New Milford,6776,860-354-2204,01-07-1984,72,CT
Regional School District 06,Warren Elementary School,Regional Schools,2060312,21 Sackett Hill Rd.,Warren,6754,860-868-2223,01-07-2002,73,CT
Trumbull School District,Daniels Farm School,Public Schools,1440811,710 Daniels Farm Rd.,Trumbull,6611,203-452-4388,01-07-1984,74,CT
Avon School District,Roaring Brook School,Public Schools,40311,30 Old Wheeler Ln.,Avon,6001,860-404-4810,01-07-1984,75,CT
Regional School District 15,Middlebury Elementary School,Regional Schools,2150612,550 Whittemore Rd,Middlebury,6762,203-758-2401,01-07-2002,76,CT
Hartford School District,Hartford Magnet Trinity College Academy,Public Schools,645411,53 Vernon Street,Hartford,6103,860-695-7201,01-07-1999,77,CT
Hartford School District,Renzulli Gifted and Talented Academy,Public Schools,644011,85 Woodland Street,Hartford,6105,860-695-2140,01-07-2010,78,CT
Bridgeport School District,"Biotechnology, Research & Zoological Studies Magnet High School",Public Schools,150611,840 Old Town Road,Bridgeport,6606,203-275-3413,29-08-2013,79,CT
Jumoke Academy District,Jumoke Academy District,Public Charter School Districts,2610013,999 Asylum Ave. Suite 200,Hartford,6105,860-527-0575,01-07-1999,80,CT
New Hartford School District,New Hartford School District,Public School Districts,920011,"530 Main Street, Box 315",New Hartford,6057,860-379-8546,01-07-1996,81,CT
New Haven School District,Engineering - Science University Magnet School,Public Schools,931711,500 Boston Post Road,West Haven,6516,475-220-6000,02-09-2008,82,CT
Colebrook School District,Colebrook Consolidated School,Public Schools,290111,"452 Smith Hill Road, P.O. Box 9",Colebrook,6021,860-379-2179,01-07-1984,83,CT
Naugatuck School District,Hillside Intermediate School,Public Schools,880411,51 Hillside Ave.,Naugatuck,6770,203-720-5260,01-07-1984,84,CT
Achievement First Hartford Academy District,Achievement First Hartford Academy,Public Charter Schools,2880113,305 Greenfield Street,Hartford,6112,860-695-6685,26-08-2008,85,CT
Stamford School District,Westover School,Public Schools,1351411,412 Stillwater Ave.,Stamford,6902,203-977-4572,01-07-1984,86,CT
Ridgefield School District,Barlow Mountain Elementary School,Public Schools,1180811,115 Barlow Mountain Rd.,Ridgefield,6877,203-894-5800,01-07-2003,87,CT
Milford School District,Calf Pen Meadow School,Public Schools,840111,395 Welch's Point Rd.,Milford,6460,203-783-3521,01-07-1984,88,CT
Connecticut Technical Education and Career System,Ella T. Grasso Technical High School,CT Technical Education and Career Schools,9002716,189 Fort Hill Rd.,Groton,6340,860-448-0220,01-07-2000,89,CT
Stonington School District,Deans Mill School,Public Schools,1370511,35 Deans Mill Rd.,Stonington,6378,860-535-2235,01-07-1984,90,CT
Portland School District,Portland High School,Public Schools,1136111,95 High Street,Portland,6480,860-342-1720,01-07-1984,91,CT
Sherman School District,Sherman School District,Public School Districts,1270011,2 Route 37 East,Sherman,6784,860-355-3793,01-07-1996,92,CT
Waterbury School District,Michael F. Wallace Middle School,Public Schools,1515111,3465 East Main St.,Waterbury,6705,203-574-8140,01-07-1984,93,CT
West Hartford School District,Webster Hill School,Public Schools,1551211,125 Webster Hill Blvd.,West Hartford,6117,860-521-0320,01-07-1984,94,CT
Regional School District 12,Washington Primary School,Regional Schools,2120412,11 School St.,Washington Depot,6794,860-868-7331,01-07-2002,95,CT
Hamden School District,Hamden School District,Public School Districts,620011,60 Putnam Avenue,Hamden,6517,203-407-2000,01-07-1996,96,CT
New Haven School District,Barnard Environmental Magnet School,Public Schools,930211,170 Derby Ave.,New Haven,6511,475-220-3500,01-07-1984,97,CT
Cromwell School District,Cromwell School District,Public School Districts,330011,9 Captain James Mann Memorial Drive,Cromwell,6416,860-632-4830,01-07-1996,98,CT
Connecticut Technical Education and Career System,Howell Cheney Technical High School,CT Technical Education and Career Schools,9001616,791 West Middle Tpke.,Manchester,6040,860-649-5396,01-07-2000,99,CT
Watertown School District,Fletcher W. Judson School,Public Schools,1530311,124 Hamilton Lane,Watertown,6795,860-945-4850,01-07-1984,100,CT
Oxford School District,Great Oak Elementary School,Public Schools,1080111,50 Great Oak Road,Oxford,6478,203-888-6492,01-07-1984,101,CT
Stratford School District,Harry B. Flood Middle School,Public Schools,1385311,490 Chapel Street,Stratford,6614,203-385-4280,01-07-1984,102,CT
Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Public Schools,341911,201 University Blvd.,Danbury,6810,203-778-7462,01-07-2006,103,CT
Regional School District 18,Lyme Consolidated School,Regional Schools,2180112,478 Hamburg Road,Lyme,6371,860-434-1233,01-07-2002,104,CT
Killingly School District,Killingly Memorial School,Public Schools,690311,339 Main St.,Danielson,6239,860-779-6680,01-07-1999,105,CT
Department of Mental Health and Addiction Services,Connecticut Mental Health Center,State Agency Facilities,3370415,34 Park St.,New Haven,6790,860-262-7175,01-07-2007,106,CT
Waterbury School District,Margaret M. Generali Elementary School,Public Schools,1511111,3196 East Main St.,Waterbury,6705,203-574-8174,01-07-1984,107,CT
Darien School District,Darien High School,Public Schools,356111,80 High School Ln.,Darien,6820,203-655-3981,01-07-1984,108,CT
Windham School District,Charles H. Barrows STEM Academy,Public Schools,1630411,141 Tuckie Road,North Windham,6256,860-465-2610,24-08-2013,109,CT
Bozrah School District,Bozrah School District,Public School Districts,130011,8 Bozrah Street Extension,Bozrah,6334,860-887-2561,01-07-1996,110,CT
Sprague School District,Sprague School District,Public School Districts,1330011,25 Scotland Road,Baltic,6330,860-822-8264,01-07-1996,111,CT
Ridgefield School District,Ridgefield School District,Public School Districts,1180011,90 East Ridge Rd,Ridgefield,6877,203-894-5550,01-07-1996,112,CT
Thompson School District,Thompson School District,Public School Districts,1410011,785 Riverside Drive,North Grosvenor Dale,6255,860-923-9581,01-07-1996,113,CT
Lisbon School District,Lisbon School District,Public School Districts,730011,15 Newent Road,Lisbon,6351,860-376-5565,01-07-1996,114,CT
Bethany School District,Bethany Community School,Public Schools,80111,44 Peck Road,Bethany,6524,203-393-3350,01-07-1984,115,CT
Westport School District,King's Highway Elementary School,Public Schools,1580511,125 Post Rd. West,Westport,6880,203-341-1802,01-07-1984,116,CT
Wallingford School District,Evarts C. Stevens School,Public Schools,1480911,18 Kondracki Lane,Wallingford,6492,203-294-3750,01-07-1984,117,CT
Regional School District 07,Northwestern Regional High School,Regional Schools,2076112,100 Battistoni Dr.,Winsted,6098,860-379-8525,01-07-2002,118,CT
Franklin School District,Franklin Elementary School,Public Schools,530111,206 Pond Rd.,North Franklin,6254,860-642-7063,01-07-1984,119,CT
Granby School District,Granby Memorial Middle School,Public Schools,565111,321 Salmon Brook St.,Granby,6035,860-844-3029,01-07-1984,120,CT
New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Public Schools,934811,400 Canner Street,New Haven,6511,475-220-3400,01-07-1995,121,CT
Manchester School District,Waddell School,Public Schools,771311,163 Broad Street,Manchester,6042,860-647-3392,01-07-1984,122,CT
Bloomfield School District,Bloomfield High School,Public Schools,116111,5 Huckleberry Ln.,Bloomfield,6002,860-286-2630,01-07-1984,123,CT
Connecticut Technical Education and Career System,Oliver Wolcott Technical High School,CT Technical Education and Career Schools,9002216,75 Oliver St.,Torrington,6790,860-496-5300,01-07-2000,124,CT
Bethel School District,Bethel School District,Public School Districts,90011,"One School Street, Box 253",Bethel,6801,203-794-8601,01-07-1996,125,CT
Norwich School District,Samuel Huntington School,Public Schools,1040811,80 West Town St.,Norwich,6360,860-823-4204,01-07-1984,126,CT
Enfield School District,Henry Barnard School,Public Schools,491811,27 Shaker Rd.,Enfield,6082,860-253-6540,01-07-1984,127,CT
Hartford School District,Sport and Medical Sciences Academy,Public Schools,646511,280 Huyshope Avenue,Hartford,6106,860-695-6900,01-07-2002,128,CT
Bridgeport School District,Beardsley School,Public Schools,150211,500 Huntington Rd.,Bridgeport,6610,203-576-7184,01-07-1984,129,CT
Regional School District 10,Har-Bur Middle School,Regional Schools,2105112,26 Lyon Rd.,Burlington,6013,860-673-6163,01-07-2002,130,CT
Rocky Hill School District,Rocky Hill High School,Public Schools,1196111,50 Chapin Ave.,Rocky Hill,6067,860-258-7721,01-07-1984,131,CT
Avon School District,Avon High School,Public Schools,46111,510 West Avon Rd.,Avon,6001,860-404-4740,01-07-1984,132,CT
New Haven School District,Hill Regional Career High School,Public Schools,936311,140 Legion Ave.,New Haven,6519,475-220-5000,01-07-1984,133,CT
Darien School District,Middlesex Middle School,Public Schools,355111,204 Hollow Tree Ridge Rd.,Darien,6820,203-655-2518,01-07-1984,134,CT
Rocky Hill School District,Rocky Hill School District,Public School Districts,1190011,761 Old Main St,Rocky Hill,6067,860-258-7701,01-07-1996,135,CT
Stafford School District,West Stafford School,Public Schools,1340411,153 West Stafford Rd.,Stafford Springs,6076,860-684-3181,01-07-1984,136,CT
Hartford School District,West Middle School,Public Schools,642111,44 Niles Street,Hartford,6112,860-695-5480,01-07-1984,137,CT
Naugatuck School District,Andrew Avenue School,Public Schools,880811,140 Andrew Ave.,Naugatuck,6770,203-720-5221,01-07-1984,138,CT
Canaan School District,Canaan School District,Public School Districts,210011,246 Warren Turnpike Road,Falls Village,6031,860-824-7791,01-07-1996,139,CT
New London School District,Nathan Hale Arts Magnet School,Public Schools,950911,37 Beech Drive,New London,6320,860-447-6060,01-07-1984,140,CT
North Haven School District,Green Acres Elementary School,Public Schools,1010711,146 Upper State St.,North Haven,6473,203-239-5387,01-07-1984,141,CT
Thomaston School District,Black Rock School,Public Schools,1400111,57 Branch Rd.,Thomaston,6787,860-283-3040,01-07-1984,142,CT
Waterbury School District,Crosby High School,Public Schools,1516211,300 Pierpont Rd.,Waterbury,6705,203-574-8061,01-07-1984,143,CT
Putnam School District,Putnam School District,Public School Districts,1160011,152 Woodstock Avenue,Putnam,6260,860-963-6900,01-07-1996,144,CT
Simsbury School District,Tariffville School,Public Schools,1280311,42 Winthrop St.,Tariffville,6081,860-658-5825,01-07-1984,145,CT
Stamford School District,Hart School,Public Schools,1352211,61 Adams Ave.,Stamford,6902,203-977-5082,01-07-1992,146,CT
Cheshire School District,Highland School,Public Schools,250411,490 Highland Ave.,Cheshire,6410,203-272-0335,01-07-1984,147,CT
Hamden School District,Helen Street School,Public Schools,620411,285 Helen St.,Hamden,6514,203-407-2030,01-07-1984,148,CT
Westbrook School District,Westbrook School District,Public School Districts,1540011,158 McVeagh Road,Westbrook,6498,860-399-6432,01-07-1996,149,CT
Hartford School District,Montessori Magnet at Batchelder School,Public Schools,640511,757 New Britain Avenue,Hartford,6106,860-695-2600,01-07-2013,150,CT
Unified School District #1,MacDougall/Walker Correctional Institution,State Agency Facilities,3362215,1153 East St. South,Suffield,6078,860-627-2127,01-07-2000,151,CT
East Granby School District,East Granby School District,Public School Districts,400011,"33 Turkey Hills Road, Box 674",East Granby,6026,860-653-6486,01-07-1996,152,CT
Regional School District 12,Regional School District 12,Regional School Districts,2120012,"11 A School Street, PO Box 386",Washington Depot,6794,860-868-6100,01-07-2002,153,CT
Learn,Marine Science Magnet High School,Regional Education Service Center Schools,2456114,130 Shennecossett Road,Groton,6340,860-434-4800,01-07-2011,154,CT
West Hartford School District,Smith School,Public Schools,1551711,64 St. James St.,West Hartford,6119,860-236-3317,01-07-1995,155,CT
New Haven School District,John S. Martinez Sea and Sky STEM School,Public Schools,930811,100 James St.,New Haven,6513,475-220-2000,01-07-2004,156,CT
Middletown School District,Middletown School District,Public School Districts,830011,311 Hunting Hill Avenue,Middletown,6457,860-638-1401,01-07-1996,157,CT
Cromwell School District,Cromwell High School,Public Schools,336111,1 Donald Harris Dr.,Cromwell,6416,860-632-4841,01-07-1984,158,CT
Stonington School District,Stonington High School,Public Schools,1376111,176 South Broad St.,Pawcatuck,6379,860-599-5781,01-07-1984,159,CT
Waterbury School District,Sprague School,Public Schools,1512011,1443 Thomaston Ave.,Waterbury,6704,203-574-8189,01-07-1984,160,CT
New Haven School District,Wexler/Grant Community School,Public Schools,933211,55 Foote St.,New Haven,6511,475-220-5600,01-07-1984,161,CT
Norwalk School District,Fox Run Elementary School,Public Schools,1032011,228 Fillow Street,Norwalk,6850,203-899-2860,01-07-1984,162,CT
Torrington School District,Torringford School,Public Schools,1430911,800 Charles St.,Torrington,6790,860-489-2300,01-07-1984,163,CT
Regional School District 16,Woodland Regional High School,Regional Schools,2166012,135 Back Rimmon Rd.,Beacon Falls,6403,203-881-5551,01-07-2002,164,CT
Berlin School District,Mary E. Griswold School,Public Schools,70511,133 Heather Ln.,Kensington,6037,860-828-6336,01-07-1984,165,CT
The Bridge Academy District,The Bridge Academy District,Public Charter School Districts,2690013,160 Pulaski Street,Bridgeport,6608,203-336-9999,01-07-1997,166,CT
Litchfield School District,Litchfield Intermediate School,Public Schools,740311,"35 Plumb Hill Road, P.O. Box 110",Litchfield,6759,860-567-7520,01-07-1997,167,CT
Vernon School District,Lake Street School,Public Schools,1460111,201 Lake St.,Vernon,6066,860-870-6085,01-07-1984,168,CT
Branford School District,Mary R. Tisko School,Public Schools,141511,118 Damascus Rd.,Branford,6405,203-483-1826,01-07-1984,169,CT
Weston School District,Weston High School,Public Schools,1576111,115 School Rd.,Weston,6883,203-221-6500,01-07-1984,170,CT
Bristol School District,Mountain View School,Public Schools,171711,71 Vera Rd.,Bristol,6010,860-584-7726,01-07-1998,171,CT
Newtown School District,Newtown High School,Public Schools,976111,12 Berkshire Rd.,Sandy Hook,6482,203-426-7646,01-07-1984,172,CT
Windsor Locks School District,Windsor Locks School District,Public School Districts,1650011,58 South Elm Street,Windsor Locks,6096,860-292-5000,01-07-1996,173,CT
Farmington School District,West Woods Upper Elementary School,Public Schools,520511,50 Judson Ln.,Farmington,6032,860-284-1230,01-07-2002,174,CT
Wallingford School District,Highland School,Public Schools,1480211,200 Highland Avenue,Wallingford,6492,203-294-3970,01-07-1984,175,CT
Ledyard School District,Ledyard High School,Public Schools,726111,24 Gallup Hill Rd.,Ledyard,6339,860-464-9600,01-07-1984,176,CT
Capitol Region Education Council,Academy of Computer Science and and Engineering Middle School,Regional Education Service Center Schools,2415014,337 East River Dr.,East Hartford,6108,860-290-5320,01-07-2002,177,CT
Coventry School District,Coventry High School,Public Schools,326111,78 Ripley Hill Road,Coventry,6238,860-742-7346,01-07-1984,178,CT
East Haven School District,Carbone School/East Haven Academy,Public Schools,441711,200 Tyler St.,East Haven,6512,203-468-3219,01-07-1997,179,CT
Glastonbury School District,Glastonbury School District,Public School Districts,540011,628 Hebron Avenue,Glastonbury,6033,860-652-7951,01-07-1996,180,CT
Meriden School District,Hanover School,Public Schools,800311,208 Main St.,Meriden,6450,203-235-6359,01-07-1984,181,CT
Bridgeport School District,Edison School,Public Schools,150711,115 Boston Terrace,Bridgeport,6610,203-576-7183,01-07-1984,182,CT
Greenwich School District,Eastern Middle School,Public Schools,575211,51 Hendrie Ave.,Riverside,6878,203-637-1744,01-07-1984,183,CT
Bridgeport School District,Blackham School,Public Schools,154011,425 Thorme St.,Bridgeport,6606,203-576-7951,01-07-1984,184,CT
Regional School District 19,Regional School District 19,Regional School Districts,2190012,1235 Storrs Road,Storrs,6268,860-487-1862,01-07-2002,185,CT
Essex School District,Essex Elementary School,Public Schools,500111,108 Main St.,Centerbrook,6409,860-767-8215,01-07-1984,186,CT
Connecticut Technical Education and Career System,Platt Technical High School,CT Technical Education and Career Schools,9002616,600 Orange Ave.,Milford,6461,203-783-5300,01-07-2000,187,CT
Bethel School District,Bethel Middle School,Public Schools,95111,600 Whittlesey Dr.,Bethel,6801,203-794-8670,01-07-1984,188,CT
East Hartford School District,Robert J. O'Brien School,Public Schools,431811,56 Farm Dr.,East Hartford,6108,860-622-5760,01-07-1984,189,CT
Milford School District,Pumpkin Delight School,Public Schools,841011,27 Art St.,Milford,6460,203-783-3531,01-07-1984,190,CT
Waterford School District,Oswegatchie Elementary School,Public Schools,1520611,470 Boston Post Rd.,Waterford,6385,860-442-4331,01-07-1984,191,CT
Montville School District,Mohegan School,Public Schools,860111,49 Golden Rd.,Uncasville,6382,860-848-9261,01-07-1984,192,CT
Danbury School District,Morris Street School,Public Schools,340611,28 Morris St.,Danbury,6810,203-797-4809,01-07-1984,193,CT
Simsbury School District,Simsbury High School,Public Schools,1286111,34 Farms Village Rd.,Simsbury,6070,860-658-0451,01-07-1984,194,CT
Stamford School District,Stamford School District,Public School Districts,1350011,"888 Washington Blvd., Box 9310",Stamford,6901,203-977-4543,01-07-1996,195,CT
Darien School District,Hindley Elementary School,Public Schools,350211,10 Nearwater Ln.,Darien,6820,203-655-1323,01-07-1984,196,CT
New London School District,Bennie Dover Jackson Middle School,Public Schools,955111,36 Waller St.,New London,6320,860-437-6480,01-07-1984,197,CT
Mansfield School District,Mansfield Middle School,Public Schools,785111,205 Spring Hill Rd.,Storrs,6268,860-429-9341,01-07-1984,198,CT
Regional School District 06,James Morris School,Regional Schools,2060212,10 East St.,Morris,6763,860-567-7420,01-07-2002,199,CT
Capitol Region Education Council,Academy of International Studies Elementary School,Regional Education Service Center Schools,2410414,625 Chapel Road,South Windsor,6074,860-291-6001,02-09-2008,200,CT
Griswold School District,Griswold Elementary School,Public Schools,580311,303 Slater Ave.,Griswold,6351,860-376-7610,01-07-1984,201,CT
Hartford School District,Betances Learning Lab Magnet School,Public Schools,642811,42 Charter Oak Avenue,Hartford,6106,860-695-2840,01-07-1984,202,CT
North Stonington School District,North Stonington School District,Public School Districts,1020011,298 Norwich/Westerly Road,North Stonington,6359,860-535-2800,01-07-1996,203,CT
East Hartford School District,Joseph O. Goodwin School,Public Schools,430411,1235 Forbes St.,East Hartford,6118,860-622-5420,01-07-1984,204,CT
Norwalk School District,Roton Middle School,Public Schools,1035511,201 Highland Avenue,Norwalk,6853,203-899-2930,01-07-1984,205,CT
Enfield School District,Hazardville Memorial School,Public Schools,490411,68 North Maple St.,Enfield,6082,860-763-7500,01-07-1984,206,CT
Monroe School District,Monroe School District,Public School Districts,850011,375 Monroe Turnpike,Monroe,6468,203-452-2860,01-07-1996,207,CT
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Regional Education Service Center Schools,2536114,742 Upper Maple St.,Danielson,6239,860-932-4100,02-09-2008,208,CT
