Credential ID,Name,Type,Business Name,DBA,Full Credential Code,Credential,Status,Issue Date,Effective Date,Expiration Date,Address,City,Zip Code,Location,Healthcare ID
930699,MANSFIELD CENTER FOR NURSING & REHABILITATION,CORPORATION,MANSFIELD CENTER FOR NURSING & REHABILITATION,MANSFIELD CENTER FOR NURSING & REHABILITATION,CCNH.002132C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-01-2010,01-01-2022,12/31/2023,100 WARREN CIR,STORRS,6268,POINT (-72.255458968 41.791112987),15
1259519,DAVIS PLACE,LIMITED LIABILITY PARTNERSHIP,DAVIS PLACE,DAVIS PLACE,CCNH.0002396,Chronic & Convalescent Nursing Home,ACTIVE,12/18/2014,01-10-2022,09/30/2024,111 WESTCOTT RD,DANIELSON,6239,POINT (-71.873987993 41.808534019),16
1607035,"RESIDENCE AT SOUTH WINDSOR FARMS, THE",LIMITED LIABILITY COMPANY,"RESIDENCE AT SOUTH WINDSOR FARMS, THE","RESIDENCE AT SOUTH WINDSOR FARMS, THE",ALSA.0000204,Assisted Living Service Agency,ACTIVE,11-10-2018,01-10-2022,09/30/2024,200 DEMING WAY,SOUTH WINDSOR,6074,POINT (-72.551737871 41.821530998),17
2236237,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,NON-PROFIT CORPORATION,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,MEDICAL ONCOLOGY & HEMATOLOGY SPECIALISTS OF MIDSTATE MEDICAL CENTER,CLAB.0000326,Clinical Laboratory,ACTIVE IN RENEWAL,05/22/2006,01-07-2022,06/30/2024,435 LEWIS AVE STE 220,MERIDEN,6451,POINT (-72.800859014 41.549162982),18
1361748,"WATERMARK AT EAST HILL WOODS, THE",LIMITED LIABILITY COMPANY,"WATERMARK AT EAST HILL WOODS, THE","WATERMARK AT EAST HILL WOODS, THE",ALSA.0000181,Assisted Living Service Agency,ACTIVE IN RENEWAL,06/20/2016,01-04-2022,03/31/2024,611 E HILL RD,SOUTHBURY,6488,POINT (-73.240493021 41.483223011),19
2237602,GH BENDHEIM LABORATORY,NON-PROFIT CORPORATION,GH BENDHEIM LABORATORY,GH BENDHEIM LABORATORY,CLAB.0000499,Clinical Laboratory,ACTIVE,09/23/2003,01-10-2023,09/30/2025,77 LAFAYETTE PL STE 202-A,GREENWICH,6830,POINT (-73.628379001 41.033663992),20
1392357,EVERGREEN WOODS,LIMITED LIABILITY COMPANY,EVERGREEN WOODS,EVERGREEN WOODS,ALSA.0000187,Assisted Living Service Agency,ACTIVE,05-12-2016,01-10-2022,09/30/2024,88 NOTCH HILL RD,NORTH BRANFORD,6471,POINT (-72.752247999 41.313283989),21
929127,BAL EAST HAVEN LLC,LIMITED LIABILITY COMPANY,BAL EAST HAVEN LLC,BAL EAST HAVEN LLC,ALSA.0000136,Assisted Living Service Agency,ACTIVE,01-12-2008,01-10-2022,09/30/2024,111 S SHORE DR,EAST HAVEN,6512,POINT (-72.876790004 41.246339991),22
930907,"CURTIS HOME ST. ELIZABETH CENTER, THE",NON-PROFIT CORPORATION,"CURTIS HOME ST. ELIZABETH CENTER, THE","CURTIS HOME ST. ELIZABETH CENTER, THE",CCNH.000541C,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2009,01-10-2023,09/30/2025,380 CROWN ST,MERIDEN,6450,POINT (-72.804866989 41.527771988),23
2268717,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,LIMITED LIABILITY COMPANY,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,SOUTHPORT CENTER FOR NURSING & REHABILITATION LLC,CCNH.0002467,Chronic & Convalescent Nursing Home,ACTIVE,07-11-2021,01-10-2023,09/30/2025,930 MILL HILL TER,SOUTHPORT,6890,POINT (-73.287726973 41.147021982),24
930905,WAVENY CARE CENTER,CORPORATION,WAVENY CARE CENTER,WAVENY CARE CENTER,CCNH.000942C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-04-2010,01-04-2022,03/31/2024,3 FARM RD,NEW CANAAN,6840,POINT (-73.49236896 41.128051011),25
1388588,MASONICARE HOME HEALTH AND HOSPICE,NON-PROFIT CORPORATION,MASONICARE HOME HEALTH AND HOSPICE,MASONICARE HOME HEALTH AND HOSPICE,ALSA.0000185,Assisted Living Service Agency,ACTIVE,09-11-2016,01-10-2022,09/30/2024,110 S TURNPIKE RD,WALLINGFORD,6492,POINT (-72.845088976 41.445361996),26
1680701,"JOHN L. LEVITOW HEALTH CARE CENTER, THE",GOVERNMENT AGENCY,"JOHN L. LEVITOW HEALTH CARE CENTER, THE","JOHN L. LEVITOW HEALTH CARE CENTER, THE",CCNH.0002454,Chronic & Convalescent Nursing Home,ACTIVE,01-08-2019,01-07-2023,06/30/2025,287 WEST ST,ROCKY HILL,6067,POINT (-72.652458005 41.656703009),27
930085,ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT LLC,LIMITED LIABILITY COMPANY,ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT LLC,"ENDOSCOPY CENTER OF NORTHWEST CONNECTICUT, LLC",ASC.0000278,Out-Patient Surgical Facility,ACTIVE,01-01-2010,01-01-2024,12/31/2025,245 ALVORD PARK RD STE B,TORRINGTON,6790,POINT (-73.103803961 41.822842011),28
930648,CHESTELM HEALTH AND REHABILITATION CENTER,CORPORATION,CHESTELM HEALTH AND REHABILITATION CENTER,CHESTELM HEALTH AND REHABILITATION CENTER,CCRH.002196C,Chronic & Convalescent Nursing Homes and Rest Home with Nursing Supervision,ACTIVE,01-07-2009,01-07-2023,06/30/2025,534 TOWN ST,MOODUS,6469,POINT (-72.44471396 41.486000983),29
1361695,"SPRINGS AT WATERMARK, EAST HILL, THE",LIMITED LIABILITY COMPANY,"SPRINGS AT WATERMARK, EAST HILL, THE","SPRINGS AT WATERMARK, EAST HILL, THE",CCNH.0002429,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,06/20/2016,01-04-2022,03/31/2024,611 E HILL RD,SOUTHBURY,6488,POINT (-73.240493021 41.483223011),30
2526227,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,LIMITED LIABILITY COMPANY,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,AUTUMN LAKE HEALTHCARE AT THE WILLOWS,CCNH.0002484,Chronic & Convalescent Nursing Home,ACTIVE,11/29/2023,11/28/2023,09/30/2025,225 AMITY RD,WOODBRIDGE,6525,POINT (-72.98273198 41.342490982),31
929115,BAL RIDGEFIELD LLC,LIMITED LIABILITY COMPANY,BAL RIDGEFIELD LLC,Benchmark Senior Living at Ridgefield Crossings,ALSA.0000129,Assisted Living Service Agency,ACTIVE,01-12-2008,01-10-2022,09/30/2024,640 DANBURY RD,RIDGEFIELD,6877,POINT (-73.473825005 41.322486019),32
2090117,"PIERCE MEMORIAL BAPTIST HOME, INC.",CORPORATION,"PIERCE MEMORIAL BAPTIST HOME, INC.","PIERCE MEMORIAL BAPTIST HOME, INC.",CCNH.0002458,Chronic & Convalescent Nursing Home,ACTIVE,07-10-2020,01-10-2022,09/30/2024,44 CANTERBURY RD,BROOKLYN,6234,POINT (-71.949499766 41.785111834),33
2385882,VANDERMAN PLACE,LIMITED LIABILITY COMPANY,VANDERMAN PLACE,VANDERMAN PLACE,CCNH.0002471,Chronic & Convalescent Nursing Home,ACTIVE,07/22/2022,07/17/2022,06/30/2024,595 VALLEY ST,WILLIMANTIC,6226,POINT (-72.228602009 41.717437986),34
929099,SAINT FRANCIS GI ENDOSCOPY LLC,LIMITED LIABILITY COMPANY,SAINT FRANCIS GI ENDOSCOPY LLC,"SAINT FRANCIS GI ENDOSCOPY, LLC",ASC.0000321,Out-Patient Surgical Facility,ACTIVE,10/30/2008,01-10-2022,09/30/2024,360 BLOOMFIELD AVE STE 204,WINDSOR,6095,POINT (-72.66280404 41.854316016),35
2245082,PROHEALTH PHYSICIANS LABORATORY,CORPORATION,PROHEALTH PHYSICIANS LABORATORY,PROHEALTH PHYSICIANS LABORATORY,CLAB.0000925,Clinical Laboratory,ACTIVE IN RENEWAL,08-06-2004,01-07-2022,06/30/2024,950 YALE AVE,WALLINGFORD,6492,POINT (-72.807005966 41.490504998),36
2231251,WOODLAKE AT TOLLAND,LIMITED LIABILITY COMPANY,WOODLAKE AT TOLLAND,WOODLAKE AT TOLLAND,CCNH.0002459,Chronic & Convalescent Nursing Home,ACTIVE,02-07-2021,01-07-2023,06/30/2025,26 SHENIPSIT LAKE RD,TOLLAND,6084,POINT (-72.413016033 41.872382998),37
2247562,SMILOW-TORRINGTON,NON-PROFIT CORPORATION,SMILOW-TORRINGTON,SMILOW-TORRINGTON,CLAB.0000712,Clinical Laboratory,ACTIVE,11-01-1993,01-04-2023,03/31/2025,200 KENNEDY DR,TORRINGTON,6790,POINT (-73.104756984 41.827682979),38
2237578,"DIANON SYSTEMS, INC.",CORPORATION,"DIANON SYSTEMS, INC.","DIANON SYSTEMS, INC.",CLAB.0000356,Clinical Laboratory,ACTIVE,07/28/2006,01-01-2024,12/31/2025,1 FOREST PKWY,SHELTON,6484,POINT (-73.107323019 41.285952991),39
2382873,RIDGEFIELD STATION,LIMITED LIABILITY COMPANY,RIDGEFIELD STATION,RIDGEFIELD STATION,ALSA.0000234,Assisted Living Service Agency,ACTIVE IN RENEWAL,06/24/2022,06/23/2022,03/31/2024,55 OLD QUARRY ROAD,RIDGEFIELD,6877,POINT (-73.492283786 41.288148099),40
934587,MIDDLESEX CENTER FOR ADVANCED ORTHOPEDIC SURGERY LLC,LIMITED LIABILITY COMPANY,MIDDLESEX CENTER FOR ADVANCED ORTHOPEDIC SURGERY LLC,"MIDDLESEX CENTER FOR ADVANCED ORTHOPEDIC SURGERY, LLC",ASC.0000329,Out-Patient Surgical Facility,ACTIVE IN RENEWAL,04-06-2010,01-04-2022,03/31/2024,510 SAYBROOK RD,MIDDLETOWN,6457,POINT (-72.622930973 41.540618051),41
1003704,ATRIA CROSSROADS PLACE,LIMITED LIABILITY COMPANY,ATRIA CROSSROADS PLACE,ATRIA CROSSROADS PLACE,ALSA.0000157,Assisted Living Service Agency,ACTIVE,06/22/2011,01-04-2023,03/31/2025,1 BEECHWOOD DR,WATERFORD,6385,POINT (-72.15750182 41.366619473),42
1278602,CIVITA CARE CENTER AT CHESHIRE,LIMITED LIABILITY PARTNERSHIP,CIVITA CARE CENTER AT CHESHIRE,CIVITA CARE CENTER AT CHESHIRE,CCNH.0002407,Chronic & Convalescent Nursing Home,ACTIVE,01-04-2015,01-04-2023,03/31/2025,745 HIGHLAND AVE,CHESHIRE,6410,POINT (-72.899241016 41.518038),43
2236176,YALE UNIVERSITY SCHOOL OF MEDICINE,NON-PROFIT CORPORATION,YALE UNIVERSITY SCHOOL OF MEDICINE,YALE UNIVERSITY SCHOOL OF MEDICINE,CLAB.0000084,Clinical Laboratory,ACTIVE,12/13/2005,01-01-2024,12/31/2025,"20 YORK ST., EP 2-607",NEW HAVEN,6510,POINT (-72.934950019 41.304884987),44
2406534,ELMBROOK VILLAGE,LIMITED LIABILITY COMPANY (SINGLE MEMBER),ELMBROOK VILLAGE,ELMBROOK VILLAGE,ALSA.0000241,Assisted Living Service Agency,ACTIVE,05-01-2023,05-01-2023,12/31/2024,380 SALEM TPKE,BOZRAH,6334,POINT (-72.139016537 41.50621842),45
1003943,ATRIA STAMFORD,LIMITED LIABILITY COMPANY,ATRIA STAMFORD,ATRIA STAMFORD,ALSA.0000163,Assisted Living Service Agency,ACTIVE,06/23/2011,01-04-2023,03/31/2025,77 3RD ST,STAMFORD,6905,POINT (-73.538733038 41.065013987),46
2519095,"HARTFORD HEALTHCARE CANCER INSTITUTE AT BACKUS HOSPITAL, WILLIMANTIC",NON-PROFIT CORPORATION,"HARTFORD HEALTHCARE CANCER INSTITUTE AT BACKUS HOSPITAL, WILLIMANTIC","HARTFORD HEALTHCARE CANCER INSTITUTE AT BACKUS HOSPITAL, WILLIMANTIC",CLAB.0001106,Clinical Laboratory,ACTIVE,09/25/2023,09/26/2023,09/30/2025,5 Founder St Suite 200,Willimantic,6226,POINT (-72.22619699 41.717326004),47
930756,APPLE REHAB FARMINGTON VALLEY,CORPORATION,APPLE REHAB FARMINGTON VALLEY,APPLE REHAB FARMINGTON VALLEY,CCNH.002029C,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2008,01-10-2022,09/30/2024,269 FARMINGTON AVE,PLAINVILLE,6062,POINT (-72.85409399 41.685891017),48
930030,MEADOW RIDGE,LIMITED LIABILITY COMPANY,MEADOW RIDGE,MEADOW RIDGE,ALSA.0000088,Assisted Living Service Agency,ACTIVE,01-10-2008,01-10-2022,09/30/2024,100 REDDING RD,REDDING,6896,POINT (-73.420925976 41.261742996),49
2478188,Fairfield Dermatology,CORPORATION,Fairfield Dermatology,Fairfield Dermatology,CLAB.0001104,Clinical Laboratory,ACTIVE,11-09-2023,11-09-2023,09/30/2025,1305 Post Road,Fairfield,6824,POINT (-73.254955995 41.142248991),50
2247595,SHEARD AND DRUGGE PC,CORPORATION,SHEARD AND DRUGGE PC,SHEARD AND DRUGGE PC,CLAB.0000870,Clinical Laboratory,ACTIVE IN RENEWAL,10-10-2007,01-04-2022,03/31/2024,50 GLENBROOK RD APT 1C,STAMFORD,6902,POINT (-73.529498025 41.056935005),51
2252072,ST. VINCENT'S MEDICAL CENTER LABORATORY,BUSINESS,ST. VINCENT'S MEDICAL CENTER LABORATORY,ST. VINCENT'S MEDICAL CENTER,CLAB.00HP368,Clinical Laboratory,ACTIVE,07-10-2019,01-10-2023,09/30/2025,2800 MAIN ST,BRIDGEPORT,6606,POINT (-73.201552962 41.20126199),52
930304,"GREENS AT GREENWICH, THE",LIMITED LIABILITY COMPANY,"GREENS AT GREENWICH, THE","GREENS AT GREENWICH, THE",ALSA.0000073,Assisted Living Service Agency,ACTIVE,01-10-2009,01-10-2023,09/30/2025,1155 KING ST,GREENWICH,6831,POINT (-73.692495028 41.059403015),53
930683,LUTHERAN HOME OF SOUTHBURY INC.,NON-PROFIT CORPORATION,LUTHERAN HOME OF SOUTHBURY INC.,"LUTHERAN HOME OF SOUTHBURY, INC.",CCNH.000699C,Chronic & Convalescent Nursing Home,ACTIVE,01-07-2008,01-07-2022,06/30/2024,990 MAIN ST N,SOUTHBURY,6488,POINT (-73.210031005 41.50372502),54
930149,TOUCHPOINTS AT MANCHESTER,LIMITED LIABILITY COMPANY,TOUCHPOINTS AT MANCHESTER,TOUCHPOINTS AT MANCHESTER,CCNH.0002290,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2015,01-10-2023,09/30/2025,333 BIDWELL ST,MANCHESTER,6040,POINT (-72.546082014 41.760180998),55
2381669,OLD GLORY DAYS,SOLE PROPRIETOR,OLD GLORY DAYS,OLD GLORY DAYS,ALSA.0000238,Assisted Living Service Agency,ACTIVE,09/14/2022,09/14/2022,06/30/2024,211 WOODBURY RD,WATERTOWN,6795,POINT (-73.127139012 41.603472015),56
1602844,"SHORELINE ENDOSCOPY CENTER, LLC",LIMITED LIABILITY COMPANY,"SHORELINE ENDOSCOPY CENTER, LLC","SHORELINE ENDOSCOPY CENTER, LLC",ASC.0000358,Out-Patient Surgical Facility,ACTIVE,09/20/2018,01-07-2022,06/30/2024,800 BOSTON POST RD BLDG 1,GUILFORD,6437,POINT (-72.675457025 41.288307007),57
930903,ABBOTT TERRACE HEALTH CENTER,CORPORATION,ABBOTT TERRACE HEALTH CENTER,ABBOTT TERRACE HEALTH CENTER,CCNH.001089C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-01-2010,01-01-2022,12/31/2023,44 ABBOTT TER,WATERBURY,6702,POINT (-73.037900996 41.556936987),58
2246558,GUILFORD PEDIATRICS,LIMITED LIABILITY COMPANY,GUILFORD PEDIATRICS,GUILFORD PEDIATRICS,CLAB.0000824,Clinical Laboratory,ACTIVE,07/19/2001,01-10-2023,09/30/2025,152 BROAD ST,GUILFORD,6437,POINT (-72.679302978 41.284772987),59
1402327,SPECIALITY SURGERY CENTER OF CONNECTICUT,LIMITED LIABILITY COMPANY,SPECIALITY SURGERY CENTER OF CONNECTICUT,SPECIALTY SURGERY CENTER OF CONNECTICUT,ASC.0000354,Out-Patient Surgical Facility,ACTIVE,08-02-2017,01-01-2023,12/31/2024,1281 E MAIN ST,STAMFORD,6902,POINT (-73.508275968 41.060250006),60
929123,BAL MERIDEN LLC,LIMITED LIABILITY COMPANY,BAL MERIDEN LLC,The Village at Kensington Place,ALSA.0000134,Assisted Living Service Agency,ACTIVE,02-12-2008,01-10-2022,09/30/2024,511 KENSINGTON AVE,MERIDEN,6451,POINT (-72.809665041 41.553855004),61
930031,RIDGE CREST AT MEADOW RIDGE,LIMITED LIABILITY COMPANY,RIDGE CREST AT MEADOW RIDGE,RIDGE CREST AT MEADOW RIDGE,CCNH.0002266,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2008,01-10-2022,09/30/2024,100 REDDING RD,REDDING,6896,POINT (-73.420925976 41.261742996),62
930635,ST. JOSEPH'S RESIDENCE,CORPORATION,ST. JOSEPH'S RESIDENCE,ST. JOSEPH'S RESIDENCE,CCNH.000901C,Chronic & Convalescent Nursing Home,ACTIVE,01-07-2008,01-07-2022,06/30/2024,1365 ENFIELD ST,ENFIELD,6082,POINT (-72.590038978 41.972436016),63
2251526,LAWRENCE + MEMORIAL HOSPITAL LABORATORY,NON-PROFIT CORPORATION,LAWRENCE + MEMORIAL HOSPITAL LABORATORY,LAWRENCE + MEMORIAL HOSPITAL LABORATORY,CLAB.00HP227,Clinical Laboratory,ACTIVE,03/18/2005,01-04-2023,06/30/2025,365 MONTAUK AVE,NEW LONDON,6320,POINT (-72.103936035 41.336975019),64
2246610,CORE PHYSICAL THERAPY AND SPORTS MEDICINE LABORATORY,LIMITED LIABILITY COMPANY,CORE PHYSICAL THERAPY AND SPORTS MEDICINE LABORATORY,CORE PHYSICAL THERAPY AND SPORTS MEDICINE LABORATORY,CLAB.0000829,Clinical Laboratory,ACTIVE,05/23/2017,01-10-2023,09/30/2025,3180 MAIN ST STE 304,BRIDGEPORT,6606,POINT (-73.205321968 41.205597991),65
930795,SAINT MARY HOME,NON-PROFIT CORPORATION,SAINT MARY HOME,SAINT MARY HOME,CCNH.000680C,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2008,01-10-2022,09/30/2024,2021 ALBANY AVE,WEST HARTFORD,6117,POINT (-72.725790019 41.784124995),66
1125452,MAPLEWOOD AT ORANGE,LIMITED LIABILITY COMPANY,MAPLEWOOD AT ORANGE,"MAPLEWOOD AT ORANGE ALSA, LLC",ALSA.0000167,Assisted Living Service Agency,ACTIVE,09/28/2012,01-07-2022,06/30/2024,245 INDIAN RIVER RD,ORANGE,6477,POINT (-72.998763962 41.264250987),67
2387150,"BUCKINGHAM HEIGHTS, LLC",LIMITED LIABILITY COMPANY,"BUCKINGHAM HEIGHTS, LLC","BUCKINGHAM HEIGHTS, LLC",ALSA.0000237,Assisted Living Service Agency,ACTIVE,09/14/2022,09/15/2022,06/30/2024,1824 MANCHESTER RD,GLASTONBURY,6033,POINT (-72.52054202 41.728992021),68
2529086,Northeast Men's Health,LIMITED LIABILITY COMPANY,Northeast Men's Health,Northeast Men's Health,CLAB.0001111,Clinical Laboratory,ACTIVE,04-01-2024,04-01-2024,03/31/2026,231 FARMINGTON AVE STE 105,FARMINGTON,6032,POINT (-72.792938032 41.737093004),69
930899,BAYVIEW HEALTH CARE,LIMITED LIABILITY COMPANY (SINGLE MEMBER),BAYVIEW HEALTH CARE,BAYVIEW HEALTH CARE,CCNH.0002318,Chronic & Convalescent Nursing Home,ACTIVE,01-07-2008,01-07-2022,06/30/2024,301 ROPE FERRY RD,WATERFORD,6385,POINT (-72.166041998 41.328326991),70
2086538,ADDISON PLACE AT GLASTONBURY,LIMITED LIABILITY COMPANY,ADDISON PLACE AT GLASTONBURY,ADDISON PLACE AT GLASTONBURY,ALSA.0000225,Assisted Living Service Agency,ACTIVE,09/24/2020,01-07-2022,06/30/2024,1177 HEBRON AVE,GLASTONBURY,6033,POINT (-72.565748079 41.718266981),71
1387140,HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CENTER,LIMITED LIABILITY COMPANY,HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CENTER,HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CENTER,CCNH.0002436,Chronic & Convalescent Nursing Home,ACTIVE,10/31/2016,01-10-2022,09/30/2024,78 VIETS ST,NEW LONDON,6320,POINT (-72.11014602 41.338193999),72
2476620,"UROLOGY ASSOCIATES OF NORWALK, PC",PARTNERSHIP,"UROLOGY ASSOCIATES OF NORWALK, PC",Business Name,CLAB.0001101,Clinical Laboratory,ACTIVE,08/29/2023,08/29/2023,09/30/2025,12 ELMCREST TERRACE,NORWALK,6850,POINT (-73.420356006 41.109736008),73
929769,SAINT JOHN PAUL II CENTER,LIMITED LIABILITY COMPANY,SAINT JOHN PAUL II CENTER,SAINT JOHN PAUL II CENTER,CCNH.0002324,Chronic & Convalescent Nursing Home,ACTIVE,01-10-2008,01-10-2022,09/30/2024,33 LINCOLN AVE,DANBURY,6810,POINT (-73.453668036 41.385370996),74
2237719,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,SOLE PROPRIETOR,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,CLAB.0000634,Clinical Laboratory,ACTIVE,02/17/1994,01-10-2022,09/30/2024,50 COLUMBUS BLVD,HARTFORD,6106,POINT (-72.670022032 41.76052101),75
930909,CHESHIRE HOUSE HEALTH CARE FACILITY & REHABILITATION CENTER,LIMITED LIABILITY COMPANY (SINGLE MEMBER),CHESHIRE HOUSE HEALTH CARE FACILITY & REHABILITATION CENTER,CHESHIRE HOUSE HEALTH CARE FACILITY & REHABILITATION CENTER,CCNH.002141C,Chronic & Convalescent Nursing Home,ACTIVE IN RENEWAL,01-01-2010,01-01-2022,12/31/2023,3396 E MAIN ST,WATERBURY,6705,POINT (-72.978064014 41.54343898),76
