Town,List Year,Avg Assessed Value,Avg Sale Amount,Avg Sales Ratio,Avg Total Crimes,"Avg Crimes per 100,000",Avg Number of Schools,Avg Number of Healthcare facilities,Avg Houses Sold (Condo),Avg Condo Assessed Value,Avg Condo Sale Amount,Avg Condo Sale Ratio,Avg Houses Sold (Single),Avg Single Family Assessed Value,Avg Single Family Sale Amount,Avg Single Family Sale Ratio,geometry
Norwalk,2010,401250.27,523467.22,0.93,6749.96,703.94,16.0,11.0,59.0,212299.03,254458.64,1.1,131.0,486350.45,644623.76,0.86,POINT(-73.4078968 41.1175966)
Mansfield,2017,138866.67,188033.33,0.77,399.0,166.29,0.0,0.0,1.0,121900.0,194500.0,0.63,14.0,140078.57,187571.43,0.78,POINT(-72.2131565 41.7782147)
Woodbury,2017,236019.09,317490.91,0.75,108.0,101.42,0.0,0.0,2.0,111040.0,173750.0,0.64,9.0,263792.22,349433.33,0.77,POINT(-73.2090025 41.5445404)
East Lyme,2009,282310.0,314500.87,1.06,628.0,300.24,2.0,0.0,4.0,191187.5,244475.0,0.78,41.0,291200.0,321332.66,1.08,POINT(-72.2258709 41.3569909)
Glastonbury,2010,287625.03,351853.23,1.19,1088.43,295.41,6.0,3.0,34.0,204238.24,199812.5,0.96,99.0,316262.92,404069.24,1.26,POINT(-72.608146 41.7123218)
North Canaan,2009,133405.0,91500.0,1.46,129.0,333.44,0.0,0.0,0.0,0.0,0.0,0.0,2.0,133405.0,91500.0,1.46,POINT(-73.3295947 42.0270143)
Woodbridge,2012,307793.68,421578.95,0.77,315.47,302.6,1.0,3.0,0.0,0.0,0.0,0.0,19.0,307793.68,421578.95,0.77,POINT(-73.0084385 41.352597)
Norwalk,2017,290506.9,424173.84,1.42,5300.0,551.8,16.0,11.0,19.0,179441.58,264457.89,0.7,39.0,344615.64,501984.18,1.78,POINT(-73.4078968 41.1175966)
Columbia,2017,165366.67,278666.67,0.59,102.0,177.26,0.0,0.0,0.0,0.0,0.0,0.0,3.0,165366.67,278666.67,0.59,POINT(-72.3011917 41.7020432)
Easton,2016,490315.56,674449.56,0.76,35.17,41.8,2.0,0.0,0.0,0.0,0.0,0.0,18.0,490315.56,674449.56,0.76,POINT(-73.2973394 41.2528738)
New London,2014,121698.68,156795.68,0.93,2532.93,851.09,7.0,5.0,8.0,81855.75,137506.25,0.79,48.0,128339.17,160010.58,0.95,POINT(-72.0997804 41.3556187)
Killingly,2011,131033.66,153456.97,1.16,614.81,321.99,0.0,0.0,2.0,95620.0,92500.0,1.04,56.0,132298.43,155634.0,1.17,POINT(-71.8795925 41.8430634)
Monroe,2012,267329.32,323639.61,0.88,501.66,224.58,5.0,0.0,13.0,236066.92,273050.77,0.87,46.0,276164.35,337936.46,0.88,POINT(-73.2073358 41.3325962)
Hampton,2011,207100.0,232983.33,0.94,16.5,81.05,1.0,0.0,0.0,0.0,0.0,0.0,6.0,207100.0,232983.33,0.94,POINT(-72.0547977 41.7839873)
Weston,2010,698756.25,1002655.66,0.75,175.19,150.99,4.0,0.0,0.0,0.0,0.0,0.0,32.0,698756.25,1002655.66,0.75,POINT(-73.3812743 41.2021302)
Shelton,2014,203145.73,286351.73,0.78,1337.52,302.81,7.0,8.0,36.0,202825.0,284626.0,0.75,81.0,203288.27,287118.72,0.79,POINT(-73.150955 41.370196)
Meriden,2010,139277.27,149170.22,1.27,5711.19,848.36,11.0,9.0,31.0,127958.39,110818.23,2.07,82.0,143556.35,163669.15,0.97,POINT(-72.8070435 41.5381535)
Danbury,2013,165724.87,285374.74,0.71,4413.3,508.12,16.0,8.0,74.0,121782.43,279813.65,0.56,115.0,194000.87,288953.18,0.8,POINT(-73.4540111 41.394817)
Tolland,2016,179658.06,234875.81,1.46,2734.35,191.58,4.0,0.0,1.0,91100.0,144000.0,0.63,30.0,182610.0,237905.0,1.48,POINT(-72.3562252 41.818446)
Newington,2009,143437.87,226589.04,0.66,2538.0,750.17,7.0,4.0,19.0,116751.05,209201.05,0.61,28.0,161546.79,238388.04,0.69,POINT(-72.7237063 41.6978777)
Vernon,2010,125947.54,177290.93,0.93,1000.25,308.35,5.0,0.0,16.0,99526.25,172571.13,0.68,41.0,136258.29,179132.8,1.03,POINT(-72.4663331 41.8382921)
Brookfield,2010,402799.23,431850.0,4.9,579.92,320.24,4.0,1.0,4.0,282250.0,371500.0,0.77,22.0,424717.27,442822.73,5.65,POINT(-73.4095652 41.4825947)
Bethlehem,2010,212075.0,270187.5,0.92,80.25,202.89,0.0,0.0,0.0,0.0,0.0,0.0,8.0,212075.0,270187.5,0.92,POINT(-73.2080798 41.6393626)
Lebanon,2009,164827.27,207709.09,0.84,192.0,240.76,3.0,0.0,0.0,0.0,0.0,0.0,11.0,164827.27,207709.09,0.84,POINT(-72.2125789 41.6362097)
Chaplin,2016,100683.33,140166.67,0.84,32.5,124.95,1.0,0.0,0.0,0.0,0.0,0.0,6.0,100683.33,140166.67,0.84,POINT(-72.1272989 41.7948205)
Waterford,2015,158882.34,190072.71,1.1,1445.36,652.45,3.0,5.0,8.0,93901.25,136925.0,0.78,69.0,166416.38,196234.77,1.14,POINT(-72.1519367 41.358659)
Burlington,2010,249499.59,312453.7,0.85,140.44,148.32,0.0,0.0,0.0,0.0,0.0,0.0,27.0,249499.59,312453.7,0.85,POINT(-72.9645484 41.7692648)
Barkhamsted,2010,177629.63,177483.13,2.84,71.25,176.42,1.0,0.0,0.0,0.0,0.0,0.0,8.0,177629.63,177483.13,2.84,POINT(-72.9139904 41.9292629)
Westbrook,2015,205507.33,291166.2,1.05,117.33,161.22,3.0,1.0,1.0,214980.0,395000.0,0.54,29.0,205180.69,287585.72,1.07,POINT(-72.4475874 41.285377)
Wallingford,2016,178069.72,232678.98,0.82,1986.13,398.83,11.0,6.0,27.0,131077.78,180201.37,0.77,115.0,189102.61,244999.81,0.83,POINT(-72.8231552 41.4570418)
Middlebury,2017,327462.5,491004.75,0.69,288.0,385.58,0.0,0.0,2.0,216850.0,378019.0,0.57,6.0,364333.33,528666.67,0.73,POINT(-73.1276107 41.5278742)
Brookfield,2014,240346.44,345359.71,0.87,455.16,250.68,4.0,1.0,20.0,146897.0,203707.55,0.75,53.0,275610.38,398813.36,0.92,POINT(-73.4095652 41.4825947)
Simsbury,2013,213495.92,328015.22,0.72,520.11,192.91,4.0,2.0,21.0,129601.9,200847.62,0.71,55.0,245528.18,376570.13,0.72,POINT(-72.8012211 41.8759152)
Windsor Locks,2012,124679.17,158101.83,1.04,725.25,518.81,4.0,1.0,7.0,108014.29,177234.86,0.7,17.0,131541.18,150223.53,1.18,POINT(-72.643631 41.9281305)
Easton,2009,530864.62,573307.69,0.93,105.0,125.1,2.0,0.0,0.0,0.0,0.0,0.0,13.0,530864.62,573307.69,0.93,POINT(-73.2973394 41.2528738)
East Granby,2017,149700.0,230025.0,0.72,99.0,180.21,4.0,0.0,3.0,75733.33,101666.67,0.76,1.0,371600.0,615100.0,0.6,POINT(-72.7273158 41.9412081)
Chester,2017,211550.0,290500.0,0.73,18.0,41.54,1.0,1.0,0.0,0.0,0.0,0.0,1.0,211550.0,290500.0,0.73,POINT(-72.4509204 41.4031547)
East Lyme,2010,243973.93,301816.77,0.96,590.38,281.84,2.0,0.0,10.0,191205.0,266840.0,0.79,46.0,255445.43,309420.41,1.0,POINT(-72.2258709 41.3569909)
Coventry,2017,140526.32,221461.32,0.86,330.0,247.73,4.0,0.0,2.0,160650.0,280450.0,0.6,17.0,138158.82,214521.47,0.89,POINT(-72.3050803 41.7700987)
Prospect,2017,183110.0,267233.43,1.27,177.0,175.55,0.0,1.0,3.0,162766.67,363328.0,0.43,4.0,198367.5,195162.5,1.91,POINT(-72.9787163 41.5023192)
Litchfield,2014,248266.97,350090.91,1.23,217.64,225.72,0.0,0.0,3.0,179516.67,258666.67,0.68,30.0,255142.0,359233.33,1.28,POINT(-73.2543049 41.767249)
Chester,2015,231280.83,285043.75,0.89,40.5,93.53,1.0,1.0,0.0,0.0,0.0,0.0,12.0,231280.83,285043.75,0.89,POINT(-72.4509204 41.4031547)
Morris,2012,240707.14,360414.29,0.68,38.14,142.73,0.0,0.0,0.0,0.0,0.0,0.0,7.0,240707.14,360414.29,0.68,POINT(-73.1962245 41.6842633)
Killingworth,2014,246900.0,355460.53,0.75,76.42,109.51,0.0,0.0,0.0,0.0,0.0,0.0,19.0,246900.0,355460.53,0.75,POINT(-72.5637023 41.3581545)
Beacon Falls,2015,159877.9,222216.95,0.9,118.0,194.49,0.0,0.0,2.0,88403.0,281951.5,0.65,19.0,167401.58,215929.11,0.93,POINT(-73.062608 41.4428745)
Norfolk,2014,205303.33,169983.33,1.22,28.0,145.57,1.0,0.0,0.0,0.0,0.0,0.0,6.0,205303.33,169983.33,1.22,POINT(-73.2020577 41.9939828)
Windsor,2015,131699.57,191127.77,0.78,1649.91,505.06,5.0,2.0,20.0,122307.5,178658.95,0.7,96.0,133656.25,193725.44,0.8,POINT(-72.6437022 41.8525984)
Sterling,2011,162298.46,124307.69,1.79,116.77,325.23,1.0,0.0,0.0,0.0,0.0,0.0,13.0,162298.46,124307.69,1.79,POINT(-71.828682 41.707599)
Westport,2014,825178.93,1370534.78,0.91,886.14,296.84,7.0,1.0,4.0,411525.0,976750.0,0.49,107.0,840642.63,1385255.71,0.92,POINT(-73.3578955 41.1414855)
Branford,2013,214253.13,283844.9,0.84,2036.09,611.72,5.0,4.0,41.0,138046.34,177407.78,0.8,55.0,271061.82,363188.93,0.87,POINT(-72.8150989 41.2795414)
Stratford,2012,182227.63,204719.07,1.27,4531.11,781.14,12.0,4.0,27.0,155608.15,167644.44,1.0,108.0,188882.5,213987.72,1.34,POINT(-73.1331651 41.1845415)
Bridgeport,2013,266524.44,112611.88,6.58,17070.99,1054.31,29.0,8.0,46.0,103380.43,74703.17,1.59,105.0,337997.05,129219.5,8.77,POINT(-73.1887863 41.1792695)
Westport,2009,841650.7,1241767.3,0.84,1227.0,412.76,7.0,1.0,8.0,420387.5,471125.0,1.07,63.0,895144.44,1339626.63,0.81,POINT(-73.3578955 41.1414855)
Plymouth,2010,143842.19,162573.5,0.97,642.75,478.2,1.0,1.0,3.0,85186.67,100516.67,0.85,29.0,149910.0,168993.17,0.98,POINT(-73.0528893 41.6720318)
South Windsor,2010,171241.84,225973.68,0.8,1299.95,460.65,6.0,4.0,31.0,129783.55,175087.1,0.77,45.0,199802.0,261028.89,0.81,POINT(-72.5717551 41.8489872)
Canton,2017,285406.92,356980.77,0.8,204.0,199.32,4.0,0.0,2.0,104950.0,113875.0,0.93,11.0,318217.27,401181.82,0.78,POINT(-72.8937122 41.8245424)
New Canaan,2009,1199580.45,1459845.57,0.89,414.0,184.9,5.0,2.0,9.0,597187.78,651388.89,0.93,35.0,1354481.43,1667734.43,0.88,POINT(-73.4948446 41.146763)
Clinton,2013,169442.86,220060.0,0.87,852.6,561.01,3.0,0.0,4.0,82150.0,92000.0,0.88,31.0,180706.45,236583.87,0.87,POINT(-72.5275904 41.2787104)
Watertown,2014,164606.0,235851.0,0.76,1467.42,584.37,2.0,1.0,3.0,119933.33,163666.67,0.76,47.0,167457.45,240458.51,0.76,POINT(-73.1181658 41.6062078)
Colebrook,2011,225380.0,322500.0,0.7,27.0,158.41,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225380.0,322500.0,0.7,POINT(-73.0956646 41.9895388)
Eastford,2015,143850.0,190000.0,0.79,12.0,64.15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,143850.0,190000.0,0.79,POINT(-72.0799095 41.902068)
Bethel,2009,430498.39,338578.42,2.57,607.0,291.05,5.0,2.0,14.0,593769.29,344245.07,2.31,17.0,296040.0,333911.76,2.79,POINT(-73.412668 41.372643)
Easton,2010,622805.0,713289.06,0.99,90.56,107.76,2.0,0.0,0.0,0.0,0.0,0.0,16.0,622805.0,713289.06,0.99,POINT(-73.2973394 41.2528738)
East Lyme,2013,210545.49,281188.71,0.84,514.61,244.74,2.0,0.0,12.0,136453.33,253641.67,0.66,70.0,223247.0,285911.06,0.87,POINT(-72.2258709 41.3569909)
East Hampton,2013,166004.47,218970.87,0.94,260.21,167.92,4.0,0.0,3.0,93293.33,130333.33,0.71,35.0,172236.86,226568.37,0.96,POINT(-72.49192364130434 41.5744405)
Ledyard,2009,170214.41,201718.52,0.91,459.0,270.73,2.0,0.0,0.0,0.0,0.0,0.0,27.0,170214.41,201718.52,0.91,POINT(-72.0175193 41.4386053)
Chester,2011,186122.14,210089.29,3.42,58.5,134.92,1.0,1.0,1.0,34560.0,150000.0,0.23,13.0,197780.77,214711.54,3.66,POINT(-72.4509204 41.4031547)
West Hartford,2015,216121.28,312497.05,0.74,4838.46,657.81,15.0,8.0,23.0,145660.87,219826.09,0.69,165.0,225943.03,325414.82,0.74,POINT(-72.7420399 41.7620447)
Norwich,2016,95832.0,118968.32,1.08,2141.73,512.24,8.0,5.0,15.0,77657.33,113633.33,0.77,115.0,98202.61,119664.18,1.12,POINT(-72.0759008 41.5243537)
Durham,2009,206536.67,278655.56,0.78,162.0,211.76,0.0,1.0,2.0,191450.0,323200.0,0.57,7.0,210847.14,265928.57,0.85,POINT(-72.6812059 41.4817647)
Chester,2009,302747.5,313089.75,1.93,136.0,314.85,1.0,1.0,0.0,0.0,0.0,0.0,4.0,302747.5,313089.75,1.93,POINT(-72.4509204 41.4031547)
Enfield,2012,123608.29,162433.47,1.2,2681.27,510.92,8.0,2.0,15.0,124754.0,162840.0,0.78,102.0,123439.8,162373.69,1.27,POINT(-72.5755109 41.9789387)
West Haven,2013,131942.47,150385.4,1.1,5124.02,843.27,9.0,1.0,15.0,109032.0,114200.0,1.08,74.0,136586.49,157720.28,1.1,POINT(-72.9470471 41.2706527)
Suffield,2012,198991.15,265567.31,0.93,360.46,229.17,3.0,2.0,3.0,187600.0,233333.33,0.79,23.0,200476.96,269771.74,0.95,POINT(-72.6506604 41.9816944)
Killingly,2010,126913.33,131549.27,1.96,573.76,301.38,0.0,0.0,5.0,107436.0,81940.0,1.33,58.0,128592.41,135825.93,2.02,POINT(-71.8795925 41.8430634)
New Hartford,2009,175089.09,242890.91,0.89,120.0,170.76,3.0,0.0,2.0,94360.0,97750.0,0.98,9.0,193028.89,275144.44,0.87,POINT(-72.9770488 41.8823187)
Granby,2014,201411.46,282314.02,1.6,253.98,211.78,4.0,1.0,6.0,127155.0,182150.0,0.69,35.0,214141.14,299485.0,1.76,POINT(-72.7894272 41.9539032)
Old Lyme,2017,325565.0,375916.67,1.81,144.0,167.92,0.0,0.0,2.0,146200.0,250000.0,0.58,10.0,361438.0,401100.0,2.06,POINT(-72.3289715 41.3159315)
Berlin,2016,177287.89,236857.02,2.15,1228.67,582.67,3.0,0.0,8.0,187031.88,224263.38,0.83,37.0,175181.08,239579.97,2.44,POINT(-72.7456519 41.621488)
Killingly,2016,116752.14,167075.99,0.82,400.69,210.17,0.0,0.0,8.0,96950.0,166362.5,0.62,73.0,118922.23,167154.18,0.85,POINT(-71.8795925 41.8430634)
Deep River,2011,201912.31,158269.23,2.86,101.08,189.21,1.0,0.0,0.0,0.0,0.0,0.0,13.0,201912.31,158269.23,2.86,POINT(-72.4356422 41.3856546)
Portland,2009,183587.6,245260.0,0.78,249.0,247.01,5.0,1.0,1.0,300860.0,377000.0,0.8,24.0,178701.25,239770.83,0.78,POINT(-72.6406905 41.5728924)
Salem,2014,168831.76,228966.18,0.94,65.0,145.32,1.0,0.0,1.0,41400.0,55000.0,0.75,16.0,176796.25,239839.06,0.95,POINT(-72.2762084 41.491269)
New Hartford,2010,217218.75,293515.63,0.8,135.75,192.94,3.0,0.0,1.0,93170.0,105000.0,0.89,15.0,225488.67,306083.33,0.79,POINT(-72.9770488 41.8823187)
Washington,2012,456644.55,663090.91,1.1,70.09,168.03,0.0,0.0,2.0,237100.0,181000.0,1.31,9.0,505432.22,770222.22,1.05,POINT(-73.3106731 41.6314845)
Naugatuck,2011,170619.22,140617.15,1.83,1974.16,549.68,9.0,1.0,6.0,87653.33,52583.33,1.78,82.0,176689.89,147058.65,1.83,POINT(-73.0509432 41.4860186)
Simsbury,2010,237550.79,313988.82,0.81,567.88,211.42,4.0,2.0,20.0,160422.5,199222.5,0.91,56.0,265096.61,354976.79,0.77,POINT(-72.8012211 41.8759152)
New Haven,2013,131000.53,185654.0,0.84,20596.91,1435.68,35.0,14.0,21.0,116257.14,177254.76,0.69,54.0,136734.07,188920.37,0.89,POINT(-72.9250518 41.3082138)
Canton,2015,224657.91,318501.84,0.74,323.16,316.14,4.0,0.0,9.0,143984.44,194197.67,0.81,34.0,246012.65,351405.88,0.71,POINT(-72.8937122 41.8245424)
Brookfield,2009,298066.49,324639.86,1.21,447.0,247.17,4.0,1.0,6.0,163793.33,196650.33,0.86,31.0,324054.84,349412.03,1.27,POINT(-73.4095652 41.4825947)
Union,2011,126230.0,210625.0,0.6,16.5,206.13,1.0,0.0,0.0,0.0,0.0,0.0,4.0,126230.0,210625.0,0.6,POINT(-72.1572992 41.9909296)
Farmington,2009,264085.34,381119.1,0.83,2134.0,781.89,5.0,8.0,29.0,208444.14,276016.52,0.76,44.0,300757.95,450391.25,0.88,POINT(-72.8320435 41.7198216)
Easton,2011,432737.27,638832.05,0.72,113.45,134.6,2.0,0.0,0.0,0.0,0.0,0.0,22.0,432737.27,638832.05,0.72,POINT(-73.2973394 41.2528738)
Andover,2012,183658.33,247691.67,0.85,43.67,123.91,1.0,0.0,0.0,0.0,0.0,0.0,12.0,183658.33,247691.67,0.85,POINT(-72.37036 41.7373212)
Wallingford,2012,159805.32,222243.19,0.84,2113.66,423.22,11.0,6.0,26.0,158538.46,220047.5,0.75,68.0,160289.71,223082.72,0.87,POINT(-72.8231552 41.4570418)
Naugatuck,2013,107187.63,137877.8,0.95,2049.39,569.9,9.0,1.0,6.0,46680.0,68758.33,0.7,70.0,112374.0,143802.33,0.97,POINT(-73.0509432 41.4860186)
Darien,2016,1103084.44,1713354.86,0.65,818.78,360.75,7.0,3.0,7.0,923751.43,1588714.29,0.59,65.0,1122397.23,1726777.69,0.66,POINT(-73.4692873 41.0787079)
Orange,2016,226549.0,336182.57,0.72,1090.0,711.62,2.0,2.0,3.0,157952.67,343526.0,0.49,39.0,231825.64,335617.69,0.74,POINT(-73.0256609 41.2784304)
Lyme,2009,411153.6,540600.0,2.14,46.0,197.65,0.0,0.0,0.0,0.0,0.0,0.0,5.0,411153.6,540600.0,2.14,POINT(-72.35110142568081 41.3910952)
North Canaan,2010,178702.0,176000.0,1.07,85.8,221.47,0.0,0.0,0.0,0.0,0.0,0.0,5.0,178702.0,176000.0,1.07,POINT(-73.3295947 42.0270143)
Farmington,2014,269965.59,404752.84,0.75,1875.23,684.19,5.0,8.0,35.0,139969.71,202610.0,0.71,58.0,348411.38,526735.59,0.77,POINT(-72.8320435 41.7198216)
Norwalk,2016,297023.06,455669.58,0.8,5272.72,549.14,16.0,11.0,196.0,181141.81,266358.91,0.79,201.0,410021.68,640271.02,0.82,POINT(-73.4078968 41.1175966)
East Hartford,2010,119990.54,133606.09,1.11,4916.75,857.85,13.0,1.0,10.0,76366.0,101226.9,1.1,83.0,125246.51,137507.19,1.12,POINT(-72.6120346 41.7823216)
Bethany,2010,231038.67,289626.67,0.82,117.47,201.63,1.0,0.0,0.0,0.0,0.0,0.0,15.0,231038.67,289626.67,0.82,POINT(-72.9970496 41.4217637)
Deep River,2014,265286.0,256100.0,1.0,54.6,102.15,1.0,0.0,0.0,0.0,0.0,0.0,10.0,265286.0,256100.0,1.0,POINT(-72.4356422 41.3856546)
Somers,2014,188699.52,290647.62,0.68,121.0,100.19,3.0,0.0,1.0,47500.0,87500.0,0.54,20.0,195759.5,300805.0,0.69,POINT(-72.4461952 41.9853742)
Voluntown,2014,148732.5,179722.5,0.97,42.13,143.79,1.0,0.0,0.0,0.0,0.0,0.0,8.0,148732.5,179722.5,0.98,POINT(-71.8703497 41.5706544)
Meriden,2016,105800.47,149332.16,0.79,4930.84,731.39,11.0,9.0,17.0,82698.82,107814.71,0.79,133.0,108753.31,154638.9,0.79,POINT(-72.8070435 41.5381535)
Preston,2009,196660.0,196022.0,1.97,177.0,327.05,1.0,0.0,0.0,0.0,0.0,0.0,10.0,196660.0,196022.0,1.96,POINT(-71.982138 41.5268022)
Middletown,2010,167567.1,218689.05,1.02,3392.45,679.9,9.0,9.0,20.0,101466.0,189537.25,0.77,80.0,184092.38,225977.0,1.08,POINT(-72.6509061 41.5623178)
Wallingford,2015,169033.58,224249.74,0.81,2020.09,405.85,11.0,6.0,28.0,152146.43,219596.46,0.75,106.0,173494.34,225478.91,0.83,POINT(-72.8231552 41.4570418)
Oxford,2013,195042.96,273625.35,1.13,166.38,146.0,3.0,0.0,4.0,86604.25,374371.0,0.26,22.0,214759.09,255307.95,1.29,POINT(-73.1172769 41.4351795)
Scotland,2016,152141.11,179389.0,1.05,23.33,129.68,1.0,0.0,0.0,0.0,0.0,0.0,9.0,152141.11,179389.0,1.05,POINT(-72.082083 41.6981999)
Wethersfield,2016,158841.53,211316.21,1.05,1024.78,336.94,7.0,0.0,20.0,111090.0,143670.0,0.84,91.0,169336.37,226183.51,1.1,POINT(-72.6525922 41.7142665)
Stafford,2009,124376.0,125562.7,1.78,248.0,190.01,0.0,0.0,3.0,87080.0,121000.0,0.73,17.0,130957.65,126367.88,1.96,POINT(-72.2895812 41.9851964)
Cheshire,2014,204422.41,321698.48,0.75,640.3,193.51,7.0,3.0,16.0,156916.0,307311.38,0.58,53.0,218763.96,326041.75,0.8,POINT(-72.900658 41.4989861)
Seymour,2010,185634.32,248480.7,0.86,728.54,407.73,4.0,1.0,5.0,86870.0,87700.0,1.01,32.0,201066.25,273602.69,0.83,POINT(-73.0741697 41.3943578)
East Hampton,2017,193278.13,265093.75,0.78,198.0,128.04,4.0,0.0,1.0,141000.0,230000.0,0.61,15.0,196763.33,267433.33,0.8,POINT(-72.49192364130434 41.5744405)
Easton,2015,441026.97,610733.61,0.74,110.64,131.56,2.0,0.0,0.0,0.0,0.0,0.0,33.0,441026.97,610733.61,0.74,POINT(-73.2973394 41.2528738)
North Canaan,2011,201280.0,324333.33,0.73,123.0,316.49,0.0,0.0,0.0,0.0,0.0,0.0,3.0,201280.0,324333.33,0.73,POINT(-73.3295947 42.0270143)
Franklin,2012,162570.0,212000.0,0.78,73.0,342.74,0.0,0.0,0.0,0.0,0.0,0.0,3.0,162570.0,212000.0,0.78,POINT(-72.1459112 41.6089873)
Rocky Hill,2010,181538.44,240309.09,0.85,829.44,399.3,4.0,5.0,16.0,123296.25,190276.56,0.7,16.0,239780.63,290341.63,1.0,POINT(-72.6392587 41.6648216)
East Hartford,2014,93847.96,117968.24,1.01,3940.56,685.66,13.0,1.0,6.0,83326.0,108277.83,0.85,84.0,94599.52,118660.42,1.02,POINT(-72.6120346 41.7823216)
New Britain,2016,87797.23,114212.38,0.89,7066.96,853.48,11.0,7.0,24.0,50502.08,81204.75,0.54,167.0,93157.01,118955.99,0.94,POINT(-72.7795419 41.6612104)
Bolton,2016,165717.65,265047.06,0.66,65.47,112.8,2.0,0.0,0.0,0.0,0.0,0.0,17.0,165717.65,265047.06,0.66,POINT(-72.4334173 41.7689878)
East Haven,2015,140364.83,167211.48,0.94,2089.69,640.78,7.0,3.0,23.0,140606.09,152576.43,1.06,93.0,140305.16,170830.9,0.91,POINT(-72.8684337 41.2762081)
Bridgeport,2016,97237.46,131946.8,0.89,13932.43,862.64,29.0,8.0,64.0,59668.13,80871.25,0.93,160.0,112265.19,152377.03,0.87,POINT(-73.1887863 41.1792695)
Burlington,2016,212919.43,314933.57,1.14,65.83,69.44,0.0,0.0,1.0,402850.0,565000.0,0.71,34.0,207333.24,307578.68,1.15,POINT(-72.9645484 41.7692648)
Waterbury,2016,85040.97,93170.41,1.12,14127.31,1137.75,25.0,9.0,28.0,51918.93,65363.57,0.85,209.0,89478.38,96895.72,1.16,POINT(-73.0438362 41.5538091)
Hamden,2016,137616.37,188449.09,0.98,4300.22,652.78,9.0,11.0,32.0,81764.38,105827.19,0.8,169.0,148191.89,204093.47,1.01,POINT(-72.8968574 41.3959302)
